relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Testmanager mit EAM Erfahrung(m/w/d),Hays Client,Frankfurt,On-site,Contract,,,German,Test Manager,,13.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testmanager-mit-eam-erfahrung-frankfurt-884856/1,2026-07-23T11:59:45.613220+00:00
14,Test Automation | Germany,hays,Lead Architect / Teamleiter IP/MPLS Design (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Team Lead, Lead, R, Architect",German,"Architect, Lead",,17.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-architect-teamleiter-ip-mpls-design-duesseldorf-886301/1,2026-07-23T12:02:18.457911+00:00
14,Test Automation | Germany,hays,Senior HR Analytics Consultant (m/w/d),Hays Client,Herzogenaurach,On-site,Contract,,"Senior, Consultant, R",German,"Consultant, Senior",,29.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hr-analytics-consultant-herzogenaurach-883356/1,2026-07-23T12:02:18.458893+00:00
14,Test Automation | Germany,hays,Bauleiter Elektro (Schiffbau) (m/w/d),Hays Client,Norddeutschland,On-site,Contract,,"Freelancer, R",German,Freelancer,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauleiter-elektro-schiffbau-norddeutschland-883209/1,2026-07-23T12:02:18.459060+00:00
14,Python Developer | Germany,hays,Senior Platform Engineer (AWS / Infrastructure) (m/f/d),Hays Client,Remote/Berlin,Remote,Contract,Can,"Senior, Aws",English,Senior,,21.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-platform-engineer-aws-infrastructure-remote-berlin-880032/1,2026-07-23T12:02:57.662579+00:00
14,Python Developer | Germany,hays,Senior Software Developer (m/w/d),Hays Client,München,On-site,Contract,"Ci/Cd, Java, Javascript, Python, Typescript","Postgresql, Senior, Devops, Docker, Kubernetes",German,Senior,,23.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-developer-muenchen-882356/1,2026-07-23T12:02:57.663099+00:00
14,Python Test | Germany,hays,Embedded Python Expert (m/f/d),Hays Client,Augsburg,On-site,Contract,"Pytest, Python",Expert,English,Expert,,17.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-python-expert-augsburg-883438/1,2026-07-23T12:03:27.020809+00:00
14,Python Test | Germany,hays,After-Market Quality Test Engineer (m/f/d),Hays Client,Raunheim,On-site,Contract,,"Lead, R, Jira",English,Lead,,12.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-after-market-quality-test-engineer-raunheim-880596/1,2026-07-23T12:03:27.022972+00:00
14,Python Test | Germany,hays,Lead Engineer Cloud Application Operations & Maintenance (m/f/d),Hays Client,Raunheim,On-site,Contract,,"Azure, Aws, Senior, Lead, Devops, Kubernetes",English,"Lead, Senior",,01.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-engineer-cloud-application-operations-maintenance-raunheim-879505/1,2026-07-23T12:03:27.023472+00:00
0,Tester | Germany,hays,Test Evangelist (w/m/d)(m/w/d),Hays Client,Düsseldorf,On-site,Contract,,,English,,,22.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-evangelist-w-m-d-duesseldorf-887074/1,2026-07-23T11:59:45.612658+00:00
0,Tester | Germany,hays,Labor Specialist(m/w/d),Hays Client,Mannheim,On-site,Contract,,,English,,,16.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-labor-specialist-mannheim-886044/1,2026-07-23T11:59:45.612944+00:00
0,Tester | Germany,hays,Testingeniuer ADAS(m/w/d),Hays Client,Weyhausen,On-site,Contract,,,English,,,10.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingeniuer-adas-weyhausen-885325/1,2026-07-23T11:59:45.613513+00:00
0,Tester | Germany,hays,Software Entwickler Linux/C++(m/w/d),Hays Client,Zürich,On-site,Contract,"C, C++",Linux,English,,,09.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-entwickler-linux-c-zuerich-884954/1,2026-07-23T11:59:45.613704+00:00
0,Tester | Germany,hays,CPE Tester(m/w/d),Hays Client,Remote,Remote,Contract,,,English,,,06.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-cpe-tester-remote-884484/1,2026-07-23T11:59:45.613878+00:00
0,Tester | Germany,hays,Security Tester / Pentester(m/w/d),Hays Client,München -Garching,On-site,Contract,,,English,,,02.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-security-tester-pentester-muenchen--garching-883849/1,2026-07-23T11:59:45.614093+00:00
0,Tester | Germany,hays,Software Tester(m/w/d),Hays Client,Kassel,On-site,Contract,,,English,,,22.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-tester-kassel-882001/1,2026-07-23T11:59:45.614443+00:00
0,Tester | Germany,hays,Software Tester and User Enablement Specialist(m/w/d),Hays Client,Berlin,On-site,Contract,,,English,,,22.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-tester-and-user-enablement-specialist-berlin-881942/1,2026-07-23T11:59:45.614617+00:00
0,Tester | Germany,hays,System Test & Validation Engineer – Onboard Charger (OBC)(m/w/d),Hays Client,Kassel,On-site,Contract,,,English,,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-test-validation-engineer--onboard-charger-obc-kassel-881860/1,2026-07-23T11:59:45.614789+00:00
0,Tester | Germany,hays,Systemintegrationsingenieur Bremsregelsystem(m/w/d),Hays Client,Untertürkheim,On-site,Contract,,,English,,,12.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systemintegrationsingenieur-bremsregelsystem-untertuerkheim-880927/1,2026-07-23T11:59:45.614971+00:00
0,Tester | Germany,hays,Montage- und Prüftechniker (Elektronik)(m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,12.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-montage--und-prueftechniker-elektronik-schleswig-holstein-880939/1,2026-07-23T11:59:45.615158+00:00
0,Tester | Germany,hays,Software Test Engineer  (m/w/d),Hays Client,Gilching,On-site,Contract,,R,German,,,10.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-test-engineer--gilching-860927/1,2026-07-23T11:59:45.615673+00:00
0,Tester | Germany,hays,Systemingenieur (m/w/d),Hays Client,Großraum Bonn,On-site,Contract,,,German,,,25.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systemingenieur-grossraum-bonn-867591/1,2026-07-23T11:59:45.615845+00:00
0,Tester | Germany,hays,Multifunktionsoperator/Chemielaborant (m/w/d),Hays Client,Rotkreuz,On-site,Contract,,,German,,,24.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-multifunktionsoperator-chemielaborant-rotkreuz-867437/1,2026-07-23T11:59:45.616040+00:00
0,QA Engineer | Germany,hays,Softwareentwickler C++ (m/w/d),Hays Client,Jena,On-site,Contract,"C, C++, Pytest","Scrum, Junior",German,,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-c-jena-880455/1,2026-07-23T12:00:15.844583+00:00
0,QA Engineer | Germany,hays,MSAT Engineer Process Management (m/f/d),Hays Client,Zug,On-site,Contract,C,,English,,,28.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-msat-engineer-process-management-zug-878730/1,2026-07-23T12:00:15.844754+00:00
0,QA Engineer | Germany,hays,Project Engineer (m/w/d),Hays Client,Singen,On-site,Contract,C,,German,,,28.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-singen-872232/1,2026-07-23T12:00:15.845428+00:00
0,QA Engineer | Germany,hays,Product Quality Engineer QC (m/w/d),Hays Client,Zug,On-site,Contract,,R,German,,,13.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-product-quality-engineer-qc-zug-869844/1,2026-07-23T12:00:15.845595+00:00
0,QA Engineer | Germany,hays,Devops Engineer (m/w/d),Hays Client,Kreis Unna,On-site,Contract,Java,"Intern, Git, Devops, Angular, Docker, Spring Boot",German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-kreis-unna-861212/1,2026-07-23T12:00:15.845917+00:00
0,Test Engineer | Germany,hays,Network Engineer (m/w/d),Hays Client,Nordrhein-Westfalen,On-site,Contract,,R,German,,,21.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-network-engineer-nordrhein-westfalen-886526/1,2026-07-23T12:00:57.770282+00:00
0,Test Engineer | Germany,hays,Hardware Ingenieur Automotive / Hardware Design Engineer  (m/w/d),Hays Client,Kronach,On-site,Contract,,,German,,,09.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-ingenieur-automotive-hardware-design-engineer--kronach-885058/1,2026-07-23T12:00:57.770656+00:00
0,Test Engineer | Germany,hays,Software Engineer Cobol (m/w/d),Hays Client,Köln,On-site,Contract,,R,German,,,06.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-cobol-koeln-884442/1,2026-07-23T12:00:57.771023+00:00
0,Test Engineer | Germany,hays,ADAS Physical Integration Engineer (m/w/d) (m/w/d),Hays Client,Köln,On-site,Contract,,,German,,,01.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-adas-physical-integration-engineer-koeln-883779/1,2026-07-23T12:00:57.771374+00:00
0,Test Engineer | Germany,hays,Hardware Test Engineer – Onboard Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,,German,,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-test-engineer--onboard-charger-obc-kassel-881857/1,2026-07-23T12:00:57.771712+00:00
0,Test Engineer | Germany,hays,Requirements Engineer - Onboard-Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,,German,,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-requirements-engineer-onboard-charger-obc-kassel-881810/1,2026-07-23T12:00:57.772063+00:00
0,Test Engineer | Germany,hays,Ingenieur für Anlagenplanung/ Plant Layout Engineer  (m/w/d),Hays Client,Berlin,On-site,Contract,,R,German,,,09.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-fuer-anlagenplanung--plant-layout-engineer--berlin-880432/1,2026-07-23T12:00:57.772567+00:00
0,Test Engineer | Germany,hays,Functional Test Engineer - Fahrzeugelektronik (m/w/d),Hays Client,Speyer,Remote,Contract,Embedded Systems,"R, Aspice",German,,,05.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-functional-test-engineer-fahrzeugelektronik-speyer-880198/1,2026-07-23T12:00:57.772731+00:00
0,Test Engineer | Germany,hays,Mechanical Design Engineer (m/w/d),Hays Client,Weilheim in Oberbayern,On-site,Contract,,R,German,,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-mechanical-design-engineer-weilheim-in-oberbayern-877322/1,2026-07-23T12:00:57.773066+00:00
0,Test Engineer | Germany,hays,Microsoft 365 Security Engineer (m/w/d),Hays Client,München,On-site,Contract,,,German,,,06.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-microsoft-365-security-engineer-muenchen-869732/1,2026-07-23T12:00:57.773232+00:00
0,Test Engineer | Germany,hays,Software Engineer (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,31.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-schleswig-holstein-868562/1,2026-07-23T12:00:57.773555+00:00
0,Testingenieur | Germany,hays,Testingenieur - Hochvolt-Elektrifizierung (m/w/d),Hays Client,Stuttgart,On-site,Contract,,R,German,,,20.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingenieur-hochvolt-elektrifizierung-stuttgart-886438/1,2026-07-23T12:01:42.759728+00:00
0,Test Automation | Germany,hays,Credit Risk Portfolio Manager (m/w/d)  (m/w/d),Hays Client,Rüsselsheim,Remote,Contract,,R,German,,,22.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-credit-risk-portfolio-manager--ruesselsheim-886528/1,2026-07-23T12:02:18.457215+00:00
0,Test Automation | Germany,hays,Investment Compliance Specialist  (m/w/d),Hays Client,Bad Homburg,On-site,Contract,,R,German,,,22.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-investment-compliance-specialist--bad-homburg-883179/1,2026-07-23T12:02:18.457406+00:00
0,Test Automation | Germany,hays,Entwicklungsingenieur Automatisierungstechnik (m/w/d),Hays Client,Worms,On-site,Contract,,,German,,,14.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-automatisierungstechnik-worms-885658/1,2026-07-23T12:02:18.458091+00:00
0,Test Automation | Germany,hays,Facharbeiter Inbetriebnahme (m/w/d),Hays Client,Ludwigsburg,On-site,Contract,,,German,,,14.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-facharbeiter-inbetriebnahme-ludwigsburg-885633/1,2026-07-23T12:02:18.458260+00:00
0,Test Automation | Germany,hays,Versuchsingenieur (m/w/d),Hays Client,Karlstein am Main,On-site,Contract,,,German,,,07.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-versuchsingenieur-karlstein-am-main-863728/1,2026-07-23T12:02:18.458418+00:00
0,Test Automation | Germany,hays,WMS Application Manager (m/w/d),Hays Client,Heilbronn,On-site,Contract,Go,R,German,,,02.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-wms-application-manager-heilbronn-883959/1,2026-07-23T12:02:18.458733+00:00
0,Test Automation | Germany,hays,Mitarbeiter Montage (m/w/d),Hays Client,Ludwigsburg,On-site,Contract,,Associate,German,,,25.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-mitarbeiter-montage-ludwigsburg-882625/1,2026-07-23T12:02:18.459385+00:00
0,Test Automation | Germany,hays,Abteilungsleiter Steuern (m/w/d),Hays Client,Hannover,On-site,Contract,,Head Of,German,,,12.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-abteilungsleiter-steuern-hannover-825018/1,2026-07-23T12:02:18.459705+00:00
0,Test Automation | Germany,hays,Technical Documentation Reviewer (m/w/d),Hays Client,Singen,On-site,Contract,,,German,,,30.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-technical-documentation-reviewer-singen-872597/1,2026-07-23T12:02:18.459865+00:00
0,Test Automation | Germany,hays,Ingenieur Energietechnik Sekundärtechnik (m/w/d),Hays Client,Erlangen,On-site,Contract,,R,German,,,09.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-energietechnik-sekundaertechnik-erlangen-830588/1,2026-07-23T12:02:18.460360+00:00
0,Test Automation | United Kingdom,hays,Elektriker (m/w/d),Hays Client,Neumarkt,On-site,Contract,,R,German,,,09.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-elektriker-neumarkt-884968/1,2026-07-23T12:02:46.666331+00:00
0,Test Automation | United Kingdom,hays,Mitarbeiter Prüfeld (m/w/d),Hays Client,Königswinter,On-site,Contract,,Associate,German,,,30.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-mitarbeiter-pruefeld-koenigswinter-868364/1,2026-07-23T12:02:46.668271+00:00
0,Python Developer | Germany,hays,PLC Developer (m/f/d),Hays Client,Zug,On-site,Contract,Integration Testing,R,English,,,17.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-plc-developer-zug-886420/1,2026-07-23T12:02:57.662758+00:00
0,Python Developer | Germany,hays,Embedded Software Developer (m/f/d),Hays Client,Poing,On-site,Contract,,,English,,,06.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-software-developer-poing-884459/1,2026-07-23T12:02:57.662920+00:00
0,Python Developer | Germany,hays,Fullstack Software Developer (m/f/d),Hays Client,Poing,On-site,Contract,,,English,,,01.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-software-developer-poing-878692/1,2026-07-23T12:02:57.663268+00:00
0,Python Developer | Germany,hays,DevOps Engineer (m/w/d),Hays Client,Wien,On-site,Contract,,Devops,German,,,27.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-wien-878851/1,2026-07-23T12:02:57.663430+00:00
0,Python Developer | Germany,hays,UI Prototyping Developer (m/w/d),Hays Client,Affalterbach,On-site,Contract,,R,German,,,10.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ui-prototyping-developer-affalterbach-865539/1,2026-07-23T12:02:57.663591+00:00
0,Python Test | Germany,hays,Solution Designer für CDM-DIL (m/w/d),Hays Client,Stuttgart,On-site,Contract,Ci/Cd,"R, Devops",German,,,14.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-solution-designer-fuer-cdm-dil-stuttgart-885762/1,2026-07-23T12:03:27.021175+00:00
0,Python Test | Germany,hays,Debitorenbuchhalter  (m/w/d),Hays Client,München,On-site,Contract,,R,German,,,14.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-debitorenbuchhalter--muenchen-884738/1,2026-07-23T12:03:27.021349+00:00
0,Python Test | Germany,hays,Entwicklungsingenieur Elektronik  (m/w/d),Hays Client,Großraum München,On-site,Contract,,,German,,,08.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-elektronik--grossraum-muenchen-884427/1,2026-07-23T12:03:27.021519+00:00
0,Python Test | Germany,hays,Data Engineer (m/w/d),Hays Client,Zürich,On-site,Contract,Python,R,German,,,03.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-data-engineer-zuerich-884308/1,2026-07-23T12:03:27.021874+00:00
0,Python Test | Germany,hays,Android App Entwickler (m/f/d),Hays Client,Aachen,On-site,Contract,,R,English,,,02.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-android-app-entwickler-aachen-883534/1,2026-07-23T12:03:27.022107+00:00
0,Python Test | Germany,hays,Manager IT Security  (m/w/d),Hays Client,München,On-site,Contract,,,German,,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-manager-it-security--muenchen-867614/1,2026-07-23T12:03:27.022461+00:00
0,Python Test | Germany,hays,Cloud/DevOps Software Engineer (m/w/d),Hays Client,Berlin,On-site,Contract,"Arm, Ci/Cd","Azure, R, Safe, Devops, Terraform, Scrum",German,,,22.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-cloud-devops-software-engineer-berlin-881958/1,2026-07-23T12:03:27.022800+00:00
0,Python Test | Germany,hays,Software-Ingenieur - Verifikation und Dokumentation sicherheitskritischer Embedded Software (m/w/d),Hays Client,Sachsen,On-site,Contract,,R,German,,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-ingenieur-verifikation-und-dokumentation-sicherheitskritischer-embedded-software-sachsen-880663/1,2026-07-23T12:03:27.023140+00:00
0,Python Test | Germany,hays,Prozessentwicklungsingenieur (m/w/d),Hays Client,Prüm,On-site,Contract,,R,German,,,03.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-prozessentwicklungsingenieur-pruem-879595/1,2026-07-23T12:03:27.023304+00:00
0,Python Test | Germany,hays,Embedded Softwaretester  (m/w/d),Hays Client,Dresden,On-site,Contract,"C, C++, Can, Python, Spi",R,English,,,19.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-softwaretester--dresden-877631/1,2026-07-23T12:03:27.023629+00:00
0,Python Test | Germany,hays,ICT Administration & Application Manager (m/w/d),Hays Client,Magdeburg,On-site,Contract,"Ci/Cd, Python","Golang, R, Gitlab, Argocd, Gitlab Ci, Openshift, Kubernetes",German,,,22.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ict-administration-application-manager-magdeburg-871371/1,2026-07-23T12:03:27.023792+00:00
0,Python Test | Germany,hays,Ingenieur Elektrotechnik Schwerpunkt Automatisierung (m/w/d),Hays Client,Hessen,On-site,Contract,,R,German,,,02.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-elektrotechnik-schwerpunkt-automatisierung-hessen-846480/1,2026-07-23T12:03:27.023947+00:00
0,Firmware Engineer | Germany,hays,Managed Services Engineer  (m/w/d),Hays Client,Eschborn/remote,Remote,Contract,Firmware,,German,,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-managed-services-engineer--eschborn-remote-879323/1,2026-07-23T12:04:04.373297+00:00
