relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Test Engineer | Poland,linkedin,Senior Manual Test Engineer,Intellias,"Cracow, Małopolskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-manual-test-engineer-at-intellias-4400208624,2026-04-23T11:15:16.310421+00:00
14,Testingenieur | Switzerland,linkedin,Senior Test Engineer / Test Manager – S/4HANA Integration (Telecom),Templeton & Partners - Innovative & Inclusive Hiring Solutions,"Bern, Berne, Switzerland",On-site,Full-time,,Senior,English,"Senior, Test Manager",,Recent,https://ch.linkedin.com/jobs/view/senior-test-engineer-test-manager-%E2%80%93-s-4hana-integration-telecom-at-templeton-partners-innovative-inclusive-hiring-solutions-4395369418,2026-04-23T11:15:28.998596+00:00
14,Testingenieur | Poland,linkedin,Mechanical Designer / Test Engineer (f/m),Airbus Helicopters,"Łódź, Łódzkie, Poland",Remote,Contract,"C, Can","Lead, Assembly, R",English,Lead,,Recent,https://pl.linkedin.com/jobs/view/mechanical-designer-test-engineer-f-m-at-airbus-helicopters-4378564274,2026-04-23T11:15:38.755083+00:00
14,Testingenieur | USA,linkedin,Product Tester - Software,Ag Leader Technology,"Ames, IA",Remote,Full-time,Test Automation,"Expert, Regression Testing",English,Expert,,Recent,https://www.linkedin.com/jobs/view/product-tester-software-at-ag-leader-technology-4401115091,2026-04-23T11:15:41.424017+00:00
14,Testingenieur | USA,linkedin,"Mechanical Engineer, Tower/Launch and Test",SpaceX,"Texas, United States",On-site,Contract,"C, Can","Lead, Assembly, Internship, Safe",English,Lead,,Recent,https://www.linkedin.com/jobs/view/mechanical-engineer-tower-launch-and-test-at-spacex-4401568187,2026-04-23T11:15:41.424171+00:00
14,Testingenieur | United Kingdom,linkedin,Quality Assurance Engineer,Filtronic,"Sedgefield, England, United Kingdom",On-site,Internship,Can,Lead,English,Lead,,Recent,https://uk.linkedin.com/jobs/view/quality-assurance-engineer-at-filtronic-4398538814,2026-04-23T11:15:43.950522+00:00
14,Testingenieur | United Kingdom,linkedin,Electronics Test Engineer,Alexander Battery Technologies,"Peterlee, England, United Kingdom",On-site,Internship,"C, C++, Firmware, Python","C#, Sql, Senior",English,Senior,,Recent,https://uk.linkedin.com/jobs/view/electronics-test-engineer-at-alexander-battery-technologies-4405207939,2026-04-23T11:15:43.950683+00:00
14,Testingenieur | United Kingdom,linkedin,Vehicle Testing Engineer,Applus+ IDIADA,"Nuneaton, England, United Kingdom",Remote,Contract,,"Swift, Lead",English,Lead,,Recent,https://uk.linkedin.com/jobs/view/vehicle-testing-engineer-at-applus%2B-idiada-4399994009,2026-04-23T11:15:43.951004+00:00
14,Testingenieur | United Kingdom,linkedin,Quality Assurance Engineer,Navantia UK,"Fife, Scotland, United Kingdom",On-site,Contract,,Lead,English,Lead,,Recent,https://uk.linkedin.com/jobs/view/quality-assurance-engineer-at-navantia-uk-4405634768,2026-04-23T11:15:43.951159+00:00
14,Test Automation | Germany,linkedin,Senior QA Test Automation Engineer (all genders),JustPlay,"Grünwald, Bavaria, Germany",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-test-automation-engineer-all-genders-at-justplay-4394947658,2026-04-23T11:15:46.453108+00:00
14,Test Automation | Switzerland,linkedin,Senior Quality Control (QC) Project Lead,Eumedica Pharmaceuticals AG,"Basel, Basel, Switzerland",On-site,Contract,C,"Consultant, Lead, Expert, Senior, Head Of",English,"Consultant, Expert, Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/senior-quality-control-qc-project-lead-at-eumedica-pharmaceuticals-ag-4390145265,2026-04-23T11:15:51.332248+00:00
14,Test Automation | Switzerland,linkedin,Test Manager,Sixsentix,"Zurich, Switzerland",On-site,Full-time,,,English,Test Manager,,Recent,https://ch.linkedin.com/jobs/view/test-manager-at-sixsentix-4392279589,2026-04-23T11:15:51.332432+00:00
14,Test Automation | Switzerland,linkedin,Test Lead (M/F),WIT PARTNERS SA,"Vaud, Switzerland",On-site,Full-time,,Lead,English,Lead,,Recent,https://ch.linkedin.com/jobs/view/test-lead-m-f-at-wit-partners-sa-4400178515,2026-04-23T11:15:51.332755+00:00
14,Test Automation | Remote,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Munich, Bavaria, Germany",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4399244881,2026-04-23T11:15:53.764547+00:00
14,Test Automation | Remote,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,Germany,Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4399257155,2026-04-23T11:15:53.764713+00:00
14,Test Automation | Slovakia,linkedin,Software Test Lead,Freshfields,"Bratislava, Slovakia",On-site,Full-time,,Lead,English,Lead,,Recent,https://sk.linkedin.com/jobs/view/software-test-lead-at-freshfields-4405207949,2026-04-23T11:15:56.353910+00:00
14,Test Automation | Slovakia,linkedin,Test Manager,Avenga,"Bratislava, Slovakia",On-site,Full-time,,,English,Test Manager,,Recent,https://sk.linkedin.com/jobs/view/test-manager-at-avenga-4395875366,2026-04-23T11:15:56.354100+00:00
14,Test Automation | Slovakia,linkedin,Software Test Lead,Freshfields,"Bratislava, Slovakia",On-site,Full-time,,Lead,English,Lead,,Recent,https://sk.linkedin.com/jobs/view/software-test-lead-at-freshfields-4405213501,2026-04-23T11:15:56.355125+00:00
14,Test Automation | Slovakia,linkedin,ČSOB Test Manager (M/Ž),ČSOB Finančná skupina,"Bratislava, Slovakia",On-site,Full-time,,,English,Test Manager,,Recent,https://sk.linkedin.com/jobs/view/%C4%8Dsob-test-manager-m-%C5%BE-at-%C4%8Dsob-finan%C4%8Dn%C3%A1-skupina-4327891724,2026-04-23T11:15:56.355466+00:00
14,Test Automation | Czech Republic,linkedin,Semi Senior QA Automation / Research + Development - Remote Work,BairesDev,"Santo Domingo, Dominican Republic",Remote,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/semi-senior-qa-automation-research-%2B-development-remote-work-at-bairesdev-4403619960,2026-04-23T11:15:58.870378+00:00
14,Test Automation | Poland,linkedin,Senior Automation QA Engineer,MLabs,Poland,On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-automation-qa-engineer-at-mlabs-4394611318,2026-04-23T11:16:01.377566+00:00
14,Test Automation | Poland,linkedin,Senior QA Engineer (Native Apps),Alex Staff,Poland,On-site,Full-time,,"Staff, Senior",English,"Senior, Staff",,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-native-apps-at-alex-staff-4401060294,2026-04-23T11:16:01.378106+00:00
14,Test Automation | Poland,linkedin,Senior QA Engineer,Nearmap,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-at-nearmap-4405454064,2026-04-23T11:16:01.378263+00:00
14,Test Automation | Poland,linkedin,Quality Assurance Team Lead,Sphera,Poland,On-site,Full-time,,"Team Lead, Lead",English,Lead,,Recent,https://pl.linkedin.com/jobs/view/quality-assurance-team-lead-at-sphera-4399637584,2026-04-23T11:16:01.379083+00:00
14,Test Automation | USA,linkedin,QA Test Automation Lead,SIDRAM TECHNOLOGIES,"Columbus, OH",On-site,Full-time,Test Automation,Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/qa-test-automation-lead-at-sidram-technologies-4402295978,2026-04-23T11:16:04.058264+00:00
14,Test Automation | United Kingdom,linkedin,Test Manager,Coforge,"London Area, United Kingdom",On-site,Full-time,,,English,Test Manager,,Recent,https://uk.linkedin.com/jobs/view/test-manager-at-coforge-4397243538,2026-04-23T11:16:06.590690+00:00
14,Test Automation | United Kingdom,linkedin,QA Team Lead,CONDUCTR,"Manchester Area, United Kingdom",Remote,Contract,"Can, Ci/Cd, Go","Regression Testing, Lead, Team Lead, Linux, Manual Testing, Jira, Agile",English,Lead,,Recent,https://uk.linkedin.com/jobs/view/qa-team-lead-at-conductr-4399545007,2026-04-23T11:16:06.591163+00:00
14,Python Developer | Germany,linkedin,Senior Python Developer (all genders),Sunday Natural,"Berlin, Berlin, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-developer-all-genders-at-sunday-natural-4387397879,2026-04-23T11:16:09.087275+00:00
14,Python Developer | Germany,linkedin,Staff Python Developer,Rise Technical,"Hamburg, Germany",On-site,Full-time,Python,Staff,English,Staff,,Recent,https://de.linkedin.com/jobs/view/staff-python-developer-at-rise-technical-4401908842,2026-04-23T11:16:09.087767+00:00
14,Python Developer | Austria,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,Austria,On-site,Contract,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4401047457,2026-04-23T11:16:11.561241+00:00
14,Python Developer | Austria,linkedin,Senior Python Developer - Code Migration Specialist,Mindrift,Austria,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-developer-code-migration-specialist-at-mindrift-4401045952,2026-04-23T11:16:11.561579+00:00
14,Python Developer | Switzerland,linkedin,Co-Tech Lead & Senior Python Engineer,LocalBini,Sankt Gallen Metropolitan Area,On-site,Full-time,Python,"Tech Lead, Senior, Lead",English,"Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/co-tech-lead-senior-python-engineer-at-localbini-4401058340,2026-04-23T11:16:14.028766+00:00
14,Python Developer | Switzerland,linkedin,Python Developer - Contractor,Nordwand Group - the IT & Finance Recruitment Company,"Zurich, Switzerland",On-site,Contract,Python,Contractor,English,Contractor,,Recent,https://ch.linkedin.com/jobs/view/python-developer-contractor-at-nordwand-group-the-it-finance-recruitment-company-4401619590,2026-04-23T11:16:14.028929+00:00
14,Python Developer | Slovakia,linkedin,Junior Full-Stack Developer,Swiss Re,"Bratislava, Bratislava, Slovakia",Hybrid,Contract,"C, Can, Javascript, Typescript","Junior, Azure, C#, React, Machine Learning, Angular, Sql, Senior, Agile, Graduate",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/junior-full-stack-developer-at-swiss-re-4388924020,2026-04-23T11:16:18.993430+00:00
14,Python Developer | Poland,linkedin,Full Stack Software Engineer,Samba TV,"Warsaw, Mazowieckie, Poland",On-site,Contract,"Ci/Cd, Integration Testing, Java, Javascript, Python, Typescript, Unit Testing","React, Linux, Node.Js, Devops, Lead, Agile, Architect, Microservices, Google Cloud, Ansible",English,"Architect, Lead",,Recent,https://pl.linkedin.com/jobs/view/full-stack-software-engineer-at-samba-tv-4389975943,2026-04-23T11:16:23.958253+00:00
14,Python Developer | Poland,linkedin,"Python Engineer, Data Platform",Balyasny Asset Management L.P.,"Warsaw, Mazowieckie, Poland",On-site,Contract,"Can, Claude, Cursor, Python","Prometheus, Aws, Datadog, Kubernetes, Grafana, Sql, Senior",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/python-engineer-data-platform-at-balyasny-asset-management-l-p-4388907318,2026-04-23T11:16:23.959087+00:00
14,Python Developer | USA,linkedin,Python Developer,ESB Technologies,United States,On-site,Full-time,"Llm, Python","Fastapi, Sql, Senior",English,Senior,,Recent,https://www.linkedin.com/jobs/view/python-developer-at-esb-technologies-4403941162,2026-04-23T11:16:26.557146+00:00
14,Python Test | Remote,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Frankfurt am Main, Hesse, Germany",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4399236948,2026-04-23T11:16:39.168752+00:00
14,Python Test | Slovakia,linkedin,Senior Automation QA Engineer / SDET (Python),Binance,"Bratislava, Bratislava, Slovakia",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-automation-qa-engineer-sdet-python-at-binance-4251138358,2026-04-23T11:16:41.625585+00:00
14,Python Test | Czech Republic,linkedin,Sr. SDET (Gaming Industry),Perform,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,"Java, Typescript","Manual Testing, Senior, Agile",English,Senior,,Recent,https://do.linkedin.com/jobs/view/sr-sdet-gaming-industry-at-perform-4404478136,2026-04-23T11:16:44.213466+00:00
14,Python Test | Poland,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,Poland,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4399249362,2026-04-23T11:16:46.767102+00:00
14,Python Test | United Kingdom,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"London, England, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4399247594,2026-04-23T11:16:51.969420+00:00
14,Python Test | United Kingdom,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Birmingham, England, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4399250510,2026-04-23T11:16:51.970058+00:00
14,Python Test | United Kingdom,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Manchester, England, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4399261001,2026-04-23T11:16:51.970216+00:00
14,Python Test | United Kingdom,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Glasgow, Scotland, United Kingdom",On-site,Contract,"Can, Ci/Cd, Github Actions, Pytest, Python, Test Automation","Github, React, Expert, Docker, Senior",English,"Expert, Senior",,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4399243903,2026-04-23T11:16:51.970371+00:00
14,Firmware Engineer | Austria,linkedin,Senior Embedded Software Engineer (m/f/d),Deutsche Telekom IT Solutions Slovakia,"Linz, Upper Austria, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-embedded-software-engineer-m-f-d-at-deutsche-telekom-it-solutions-slovakia-4402515620,2026-04-23T11:16:56.822153+00:00
14,Firmware Engineer | Austria,linkedin,Senior Firmware Engineer (f/m/d),Easelink,"Graz, Styria, Austria",On-site,Full-time,Firmware,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-firmware-engineer-f-m-d-at-easelink-4395808299,2026-04-23T11:16:56.822308+00:00
14,Firmware Engineer | Switzerland,linkedin,Senior Embedded Software Engineer,Coopers Group AG,"Risch-Rotkreuz, Zug, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-embedded-software-engineer-at-coopers-group-ag-4396956661,2026-04-23T11:16:59.299894+00:00
14,Firmware Engineer | Remote,linkedin,Senior Software Engineer,Keyfactor,"Aachen, North Rhine-Westphalia, Germany",Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-at-keyfactor-4382455794,2026-04-23T11:17:01.772640+00:00
14,Firmware Engineer | Slovakia,linkedin,Embedded Software Engineer - Driver & OS,Axelera AI,Slovakia,Remote,Contract,"Embedded Systems, Firmware","Entry-Level, Linux, Expert, Senior",English,"Expert, Senior",,Recent,https://sk.linkedin.com/jobs/view/embedded-software-engineer-driver-os-at-axelera-ai-4403115290,2026-04-23T11:17:04.206520+00:00
14,Firmware Engineer | Slovakia,linkedin,"Staff / Senior Software Engineer, DepoLive",Filevine,"Bratislava, Bratislava, Slovakia",On-site,Contract,Python,"Architect, Aws, React, Staff, Kubernetes, Senior, Terraform",English,"Architect, Senior, Staff",,Recent,https://sk.linkedin.com/jobs/view/staff-senior-software-engineer-depolive-at-filevine-4404569463,2026-04-23T11:17:04.206930+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer,Filevine,"Bratislava, Bratislava, Slovakia",Remote,Contract,"Can, Claude, Python, Typescript","Aws, React, Gpt, Kubernetes, Senior",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-at-filevine-4403871166,2026-04-23T11:17:04.207251+00:00
14,Firmware Engineer | Slovakia,linkedin,"Software Engineer - SDKs Integration - (C++, Rust, Android)",Innovatrics,"Bratislava, Bratislava, Slovakia",Remote,Contract,"Arm, C, C++, Can, Ci/Cd, Cortex-M, Embedded Linux, Embedded Systems, Github Actions, Java, Python, Rtos, Rust","Github, Linux, Docker, Gitlab, Lead, Agile, Git, Gitlab Ci, Senior, Tensorflow",English,"Lead, Senior",,Recent,https://sk.linkedin.com/jobs/view/software-engineer-sdks-integration-c%2B%2B-rust-android-at-innovatrics-4397055186,2026-04-23T11:17:04.207904+00:00
14,Firmware Engineer | Czech Republic,linkedin,Junior Software Engineer,Honeywell Aerospace Technologies,Dominican Republic,On-site,Contract,"C, C++, Can, Python","Junior, Architect, C#, Perl",English,Architect,,Recent,https://do.linkedin.com/jobs/view/junior-software-engineer-at-honeywell-aerospace-technologies-4399874983,2026-04-23T11:17:06.663437+00:00
14,Firmware Engineer | Czech Republic,linkedin,Embedded Developer - Senior Software Engineer,Honeywell Aerospace Technologies,Dominican Republic,Remote,Contract,"C, Can, Embedded Systems, I2C, Python, Spi",Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/embedded-developer-senior-software-engineer-at-honeywell-aerospace-technologies-4395295533,2026-04-23T11:17:06.663636+00:00
14,Firmware Engineer | United Kingdom,linkedin,"Senior Software Engineer, Embedded C++",Roku,"Cambridge, England, United Kingdom",On-site,Full-time,"C, C++",Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-embedded-c%2B%2B-at-roku-4374730170,2026-04-23T11:17:14.348514+00:00
0,Tester | Germany,linkedin,Software Engineer in Test (Berlin),Cresta,"Berlin, Berlin, Germany",On-site,Contract,"Can, Ci/Cd, Go, Playwright, Typescript","Datadog, Grafana, Cypress, Manual Testing",English,,,Recent,https://de.linkedin.com/jobs/view/software-engineer-in-test-berlin-at-cresta-4343158227,2026-04-23T11:14:16.586589+00:00
