relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,International,On-site,Freelance,,"Freelancer, R",German,Freelancer,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-plc-m-w-d-106474,2026-06-15T16:02:52.903177+00:00
0,Test Engineer | Germany,solcom,Data Pro­duct En­gi­neer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/data-product-engineer-m-w-d-106375,2026-06-15T16:02:52.903797+00:00
0,Test Engineer | Germany,solcom,Sus­tai­ning En­gi­neer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sustaining-engineer-m-w-d-106367,2026-06-15T16:02:52.903892+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest",Remote,Freelance,"Can, I2C, Shell, Uart","Express, Jira, Confluence, Soc",English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-m-w-d-106360,2026-06-15T16:02:52.903982+00:00
0,Test Engineer | Germany,solcom,De­v­Ops En­gi­neer (m/w/d),SOLCOM Client,Remote,Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/devops-engineer-m-w-d-106336,2026-06-15T16:02:52.904077+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal En­gi­neer - Ki­ne­ma­tic Sys­tems & Me­cha­nism (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-engineer-kinematic-systems-mechanism-m-w-d-106276,2026-06-15T16:02:52.904174+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"International, Bucharest, Romania",Remote,Freelance,"Can, I2C, Uart",Express,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/hw-engineer-infotainment-system-measurements-up-to-12-ghz-4-person-en-m-w-d-106253,2026-06-15T16:02:52.904559+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, München",On-site,Freelance,,Assembly,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-mechatronik-system-integration-m-w-d-106144,2026-06-15T16:02:52.904831+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal De­si­gner - Pa­cka­ging & Human Fac­tors/ Rug­ge­di­zed UAV Sys­tems (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-packaging-human-factors-ruggedized-uav-systems-m-w-d-106109,2026-06-15T16:02:52.904923+00:00
0,Test Engineer | Germany,solcom,Me­cha­ni­cal De­si­gner - UAV Sys­te­me / Ent­wick­lungs­pro­jekt Luft­fahrt (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/mechanical-designer-uav-systeme-entwicklungsprojekt-luftfahrt-m-w-d-106096,2026-06-15T16:02:52.905012+00:00
0,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D9,Remote,Freelance,,"Confluence, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/zertifizierter-projektmanager-bau-anlagenbau-industrieprojekten-capex-opex-epc-epcm-m-w-d-106128,2026-06-15T16:04:59.479396+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D5,On-site,Freelance,"Nlp, Python","Sql, R, Azure, Git, Databricks, Spark",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/data-scientist-m-w-d-106318,2026-06-15T16:07:00.376106+00:00
