relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Python Test | Switzerland,linkedin,"Senior Software Engineer, Network System Validation",NVIDIA,"Zurich, Zurich, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-software-engineer-network-system-validation-at-nvidia-4464143614,2026-09-10T14:11:45.938159+00:00
29,Firmware Engineer | Poland,linkedin,"Embedded Software Engineer II, Ring, Ring",Amazon,Gdansk Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/embedded-software-engineer-ii-ring-ring-at-amazon-4455780934,2026-09-10T14:12:17.336657+00:00
29,Firmware Engineer | Poland,linkedin,"Embedded Software Dev Engineer, Ring Devices",Amazon,Gdansk Metropolitan Area,On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/embedded-software-dev-engineer-ring-devices-at-amazon-4455785779,2026-09-10T14:12:17.336813+00:00
14,Tester | Germany,linkedin,Software Tester (all genders),Expleo Group,"Frankfurt am Main, Hesse, Germany",Remote,Internship,"Javascript, Python","R, Associate, Agile",German,Test Manager,,Recent,https://de.linkedin.com/jobs/view/software-tester-all-genders-at-expleo-group-4457339334,2026-09-10T14:09:30.184399+00:00
14,Tester | Germany,linkedin,Softwaretester (m/w/d),FERCHAU,"Lübeck, Schleswig-Holstein, Germany",Remote,Contract,Test Automation,"R, Expert",German,Expert,,Recent,https://de.linkedin.com/jobs/view/softwaretester-m-w-d-at-ferchau-4438589012,2026-09-10T14:09:30.184563+00:00
14,Tester | Austria,linkedin,Test Engineer,SCIENTIFIC GAMES,"Vienna, Austria",Remote,Contract,,"Jira, Scrum, Agile, Kanban, Linux, Cucumber, Expert",English,Expert,,Recent,https://at.linkedin.com/jobs/view/test-engineer-at-scientific-games-4463248823,2026-09-10T14:09:32.620857+00:00
14,Tester | Austria,linkedin,SOFTWARETESTER:IN (W/M/X),IT-Services der Sozialversicherung GmbH,"Vienna, Vienna, Austria",Remote,Full-time,"Java, Playwright, Selenium, Test Automation, Typescript","Junit, Postman, R, Zephyr, Restassured, Architect, Jira, Confluence, Associate, Bdd",German,"Architect, Expert",,Recent,https://at.linkedin.com/jobs/view/softwaretester-in-w-m-x-at-it-services-der-sozialversicherung-gmbh-4427933384,2026-09-10T14:09:32.621214+00:00
14,Tester | Austria,linkedin,Junior Game Tester (m/f/d),MERKUR GROUP,"Raaba, Styria, Austria",Remote,Full-time,,"Staff, Jira, Scrum, Junior, Agile",English,Staff,,Recent,https://at.linkedin.com/jobs/view/junior-game-tester-m-f-d-at-merkur-group-4465007021,2026-09-10T14:09:32.621839+00:00
14,Tester | Switzerland,linkedin,"ICT Test Engineer, Stufe Senior mit >5 Jahre Erfahrung (auch agil)",ALTEN,"Bern, Berne, Switzerland",On-site,Full-time,,Senior,German,Senior,,Recent,https://ch.linkedin.com/jobs/view/ict-test-engineer-stufe-senior-mit-5-jahre-erfahrung-auch-agil-at-alten-4353253328,2026-09-10T14:09:35.032414+00:00
14,Tester | Switzerland,linkedin,Senior Tester,MPower Plus,"Zurich, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-tester-at-mpower-plus-4464468101,2026-09-10T14:09:35.032570+00:00
14,Tester | Slovakia,linkedin,Senior Test Automation Engineer (AI focus),Expersoft Systems,"Bratislava, Slovakia",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-test-automation-engineer-ai-focus-at-expersoft-systems-4464314568,2026-09-10T14:09:39.765738+00:00
14,Tester | Czech Republic,linkedin,Lead Software Engineer in Test (SDET),Flash,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Lead,English,Lead,,Recent,https://do.linkedin.com/jobs/view/lead-software-engineer-in-test-sdet-at-flash-4414922814,2026-09-10T14:09:42.189018+00:00
14,Tester | Czech Republic,linkedin,Senior QA Automation Engineer (JavaScript),EPAM Systems,Dominican Republic,On-site,Full-time,Javascript,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-qa-automation-engineer-javascript-at-epam-systems-4461697826,2026-09-10T14:09:42.189871+00:00
14,QA Engineer | Germany,linkedin,(Senior) QA Engineer (x/f/m),DKB Code Factory GmbH,"Berlin, Berlin, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-engineer-x-f-m-at-dkb-code-factory-gmbh-4463017763,2026-09-10T14:09:51.949355+00:00
14,QA Engineer | Germany,linkedin,Senior Software Test Engineer (m/w/d) (Manuel & Automation),Ingentis,"Nuremberg, Bavaria, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-test-engineer-m-w-d-manuel-automation-at-ingentis-4443695539,2026-09-10T14:09:51.949863+00:00
14,QA Engineer | Austria,linkedin,Senior QA Engineer (m/w/d) & Testautomation - Plattformservices,PKE,"Vienna, Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-qa-engineer-m-w-d-testautomation-plattformservices-at-pke-4434643740,2026-09-10T14:09:54.223470+00:00
14,QA Engineer | Austria,linkedin,Senior Software Test Engineer (w/m/d),Merkur Versicherung,"Graz, Styria, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-software-test-engineer-w-m-d-at-merkur-versicherung-4417315986,2026-09-10T14:09:54.223623+00:00
14,QA Engineer | Switzerland,linkedin,Senior QA Automation Engineer,TXT GROUP,"Chiasso, Ticino, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-qa-automation-engineer-at-txt-group-4463260307,2026-09-10T14:09:56.647763+00:00
14,QA Engineer | Slovakia,linkedin,Senior Quality Assurance Engineer,UNIQA Group Services,"Nitra Region, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-uniqa-group-services-4431527332,2026-09-10T14:10:01.352917+00:00
14,QA Engineer | Slovakia,linkedin,Senior Software Test Automation Engineer (Full stack),Solar Turbines,"Košice, Kosice, Slovakia",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-test-automation-engineer-full-stack-at-solar-turbines-4463369959,2026-09-10T14:10:01.353745+00:00
14,QA Engineer | Poland,linkedin,Senior Software Quality Engineer,Diebold Nixdorf,"Katowice, Śląskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-software-quality-engineer-at-diebold-nixdorf-4433113302,2026-09-10T14:10:06.251054+00:00
14,QA Engineer | Poland,linkedin,Senior Apps QA Engineer (Android),Surfshark,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-apps-qa-engineer-android-at-surfshark-4452639431,2026-09-10T14:10:06.251907+00:00
14,QA Engineer | Poland,linkedin,Senior QA Engineer,GFT Technologies Poland,"Łódź, Łódzkie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-at-gft-technologies-poland-4453861461,2026-09-10T14:10:06.252402+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA Engineer,Arcadis,"Glasgow, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-arcadis-4432799090,2026-09-10T14:10:11.193692+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA/Test Engineer,iO Associates,"London, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-test-engineer-at-io-associates-4462762886,2026-09-10T14:10:11.194339+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA / Test Engineer - AI & Platform,UBDS Digital,"London, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-test-engineer-ai-platform-at-ubds-digital-4462743612,2026-09-10T14:10:11.194640+00:00
14,Test Engineer | Germany,linkedin,(Senior) Test Automation Engineer (m/w/d),Loopario | vormals Logistikbude,"Dortmund, North Rhine-Westphalia, Germany",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-automation-engineer-m-w-d-at-loopario-vormals-logistikbude-4455894376,2026-09-10T14:10:13.643229+00:00
14,Test Engineer | Germany,linkedin,(Senior) Test Engineer (m/w/d),Walbusch-Gruppe,"Solingen, North Rhine-Westphalia, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-engineer-m-w-d-at-walbusch-gruppe-4392752467,2026-09-10T14:10:13.644041+00:00
14,Test Engineer | Switzerland,linkedin,Senior Test Automation Engineer (m/f/x),Ekkiden,"Genève, Geneva, Switzerland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-automation-engineer-m-f-x-at-ekkiden-4461074596,2026-09-10T14:10:18.538923+00:00
14,Test Engineer | Switzerland,linkedin,Senior Test Automation Engineer (m/f/x),Ekkiden,"Geneva, Geneva, Switzerland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-test-automation-engineer-m-f-x-at-ekkiden-4461088311,2026-09-10T14:10:18.539296+00:00
14,Test Engineer | Slovakia,linkedin,Senior Test Engineer (m/f/d),Brose Group,"Prievidza, Trenciansky, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-test-engineer-m-f-d-at-brose-group-4419248716,2026-09-10T14:10:23.329282+00:00
14,Test Engineer | Poland,linkedin,Senior Test Engineer - QA (UI & API),Diebold Nixdorf,"Katowice, Śląskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-engineer-qa-ui-api-at-diebold-nixdorf-4395052117,2026-09-10T14:10:28.167038+00:00
14,Test Engineer | Poland,linkedin,Senior Test Automation Engineer (all genders),Lufthansa Systems,"Gdańsk, Pomorskie, Poland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-automation-engineer-all-genders-at-lufthansa-systems-4461160626,2026-09-10T14:10:28.167721+00:00
14,Test Engineer | Poland,linkedin,Senior Test Automation Engineer,Billennium,"Warsaw, Mazowieckie, Poland",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-automation-engineer-at-billennium-4465689303,2026-09-10T14:10:28.167886+00:00
14,Test Engineer | Poland,linkedin,Senior Automation Test Engineer,Jeppesen ForeFlight,"Gdańsk, Pomorskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-automation-test-engineer-at-jeppesen-foreflight-4446791052,2026-09-10T14:10:28.168042+00:00
14,Test Engineer | United Kingdom,linkedin,Senior Test Engineer,Government Commercial Agency,"Liverpool, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-at-government-commercial-agency-4464321736,2026-09-10T14:10:33.162842+00:00
14,Test Engineer | United Kingdom,linkedin,Senior Test Engineer,Ordnance Survey,"Southampton, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-at-ordnance-survey-4458091278,2026-09-10T14:10:33.163163+00:00
14,Testingenieur | Switzerland,linkedin,Junior Systems Test Engineer (M/F),Enova,"Lausanne, Vaud, Switzerland",Remote,Internship,"Python, Test Automation","R, Lead, Junior",English,Lead,,Recent,https://ch.linkedin.com/jobs/view/junior-systems-test-engineer-m-f-at-enova-4458091071,2026-09-10T14:10:40.466856+00:00
14,Testingenieur | Slovakia,linkedin,Testovací inžinier senior (m/ž/d),Brose Slovakia,"Horná Štefanovičová, Nitra Region, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/testovac%C3%AD-in%C5%BEinier-senior-m-%C5%BE-d-at-brose-slovakia-4433307490,2026-09-10T14:10:45.192762+00:00
14,Testingenieur | Poland,linkedin,Quality Assurance Engineer – Senior / Mid / Junior,Kidde Global Solutions,"Gdańsk, Pomorskie, Poland",On-site,Full-time,,"Junior, Senior",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/quality-assurance-engineer-%E2%80%93-senior-mid-junior-at-kidde-global-solutions-4449856648,2026-09-10T14:10:50.038834+00:00
14,Testingenieur | USA,linkedin,Sr Staff Test Engineer,Lockheed Martin,"Huntsville, AL",On-site,Full-time,,Staff,English,Staff,,Recent,https://www.linkedin.com/jobs/view/sr-staff-test-engineer-at-lockheed-martin-4451236992,2026-09-10T14:10:52.468950+00:00
14,Testingenieur | USA,linkedin,Senior Test Engineer,Lockheed Martin,"Huntsville, AL",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-test-engineer-at-lockheed-martin-4451246060,2026-09-10T14:10:52.469297+00:00
14,Testingenieur | United Kingdom,linkedin,Senior Test Engineer,AJ Bell,"Manchester, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-at-aj-bell-4459522629,2026-09-10T14:10:54.922535+00:00
14,Test Automation | Germany,linkedin,Senior QA Test Automation Engineer (all genders),JustPlay,"Munich, Bavaria, Germany",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-test-automation-engineer-all-genders-at-justplay-4431707864,2026-09-10T14:10:57.358338+00:00
14,Test Automation | Germany,linkedin,Senior Test Automation Engineer (m/w/d),Bundesdruckerei-Gruppe,"Berlin, Germany",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-test-automation-engineer-m-w-d-at-bundesdruckerei-gruppe-4454508053,2026-09-10T14:10:57.358817+00:00
14,Test Automation | Austria,linkedin,Senior Test Automation Engineer (m/w/d) – Gefahrenmanagementsysteme,PKE,"Vienna, Vienna, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-m-w-d-%E2%80%93-gefahrenmanagementsysteme-at-pke-4434656218,2026-09-10T14:10:59.787395+00:00
14,Test Automation | Austria,linkedin,Senior Test Automation Engineer (all genders) [Wien],adesso Austria GmbH,"Vienna, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-all-genders-wien-at-adesso-austria-gmbh-4370386899,2026-09-10T14:10:59.788238+00:00
14,Test Automation | Austria,linkedin,"Test Automation Engineer mit TOSCA – Senior Consultant (m,w,d)",QESTIT DACH,"Vienna, Austria",On-site,Full-time,Test Automation,"Consultant, Senior",German,"Consultant, Senior",,Recent,https://at.linkedin.com/jobs/view/test-automation-engineer-mit-tosca-%E2%80%93-senior-consultant-m-w-d-at-qestit-dach-4462282358,2026-09-10T14:10:59.788390+00:00
14,Test Automation | Austria,linkedin,Senior Test Automation Engineer (all genders) [Graz],adesso Austria GmbH,"Graz, Styria, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-all-genders-graz-at-adesso-austria-gmbh-4370392579,2026-09-10T14:10:59.788550+00:00
14,Test Automation | Switzerland,linkedin,"Test Automation Engineer - (Senior) Consultant (m,w,d)",QESTIT DACH,"Zurich, Switzerland",On-site,Full-time,Test Automation,"Consultant, Senior",English,"Consultant, Senior",,Recent,https://ch.linkedin.com/jobs/view/test-automation-engineer-senior-consultant-m-w-d-at-qestit-dach-4462277392,2026-09-10T14:11:02.217422+00:00
14,Test Automation | Switzerland,linkedin,"Test Automation Engineer - (Senior) Consultant (m,w,d)",QESTIT DACH,"Zurich, Zurich, Switzerland",On-site,Full-time,Test Automation,"Consultant, Senior",English,"Consultant, Senior",,Recent,https://ch.linkedin.com/jobs/view/test-automation-engineer-senior-consultant-m-w-d-at-qestit-dach-4459202556,2026-09-10T14:11:02.217571+00:00
14,Test Automation | Slovakia,linkedin,Senior Software Engineer in Test,SentinelOne,Slovakia,On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-in-test-at-sentinelone-4457700912,2026-09-10T14:11:06.899563+00:00
14,Test Automation | Poland,linkedin,Senior Test Automation Engineer with C# (f/m/x),Sii Poland,"Wrocław, Dolnośląskie, Poland",On-site,Contract,"C, Can, Ci/Cd, Jenkins, Test Automation","Azure, Devops, C#, Nunit, Jira, Senior",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-test-automation-engineer-with-c%23-f-m-x-at-sii-poland-4459529123,2026-09-10T14:11:11.739680+00:00
14,Test Automation | Poland,linkedin,Test Automation Specialist,Ework Group,"Warsaw, Mazowieckie, Poland",Hybrid,Contract,"Ci/Cd, Github Copilot, Integration Testing, Java, Jenkins, Playwright, Selenium, Test Automation","Junit, Restassured, Github, Jira, Git, Scrum, Regression Testing, Senior, Rest Api, Sql",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/test-automation-specialist-at-ework-group-4457308800,2026-09-10T14:11:11.740017+00:00
14,Test Automation | Poland,linkedin,"Test Automation Engineer (Java, Payments/Swift) - Tieto Tech Consulting (m/f/d)",Tieto,"Łódź, Łódzkie, Poland",On-site,Full-time,"Ci/Cd, Java, Jenkins, Selenium, Test Automation","Azure, Junit, Gcp, Jira, Swift, Aws, Junior, Performance Testing, Testng, Git",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/test-automation-engineer-java-payments-swift-tieto-tech-consulting-m-f-d-at-tieto-4430479025,2026-09-10T14:11:11.740207+00:00
14,Test Automation | Poland,linkedin,Test Automation Engineer (M/F/D),DSV - Global Transport and Logistics,"Warsaw, Mazowieckie, Poland",Remote,Contract,"C, Ci/Cd, Go, Java, Javascript, Playwright, Python, Selenium, Test Automation, Typescript","Cypress, Devops, Appium, C#, Manual Testing, Git, Scrum, Agile",English,Test Manager,,Recent,https://pl.linkedin.com/jobs/view/test-automation-engineer-m-f-d-at-dsv-global-transport-and-logistics-4439162204,2026-09-10T14:11:11.740377+00:00
14,Test Automation | Poland,linkedin,"MegDP_Senior QA Automation / SDET (Backend, Banking, AI)",Luxoft,Cracow Metropolitan Area,Remote,Contract,"Ci/Cd, Java, Test Automation","Azure, Docker, Github, Performance Testing, Load Testing, Git, Kubernetes, Senior, Gitlab, Agile",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/megdp-senior-qa-automation-sdet-backend-banking-ai-at-luxoft-4465093893,2026-09-10T14:11:11.740848+00:00
14,Test Automation | USA,linkedin,Senior QA Automation Engineer,CGI,"Huntsville, AL",On-site,Contract,"Bash, C, Can, Ci/Cd, Integration Testing, Python, Selenium","Postman, Cypress, Lead, Aws, Performance Testing, Microservices, Senior, Powershell",English,"Lead, Senior",,Recent,https://www.linkedin.com/jobs/view/senior-qa-automation-engineer-at-cgi-4464435333,2026-09-10T14:11:14.221958+00:00
14,Test Automation | USA,linkedin,Senior QA Automation Engineer (Playwright/Selenium),Cognizant,"Tampa, FL",On-site,Contract,"Can, Ci/Cd, Integration Testing, Jenkins, Playwright, Selenium, Test Automation","Oracle, Lead, Jira, Git, Scrum, Senior, Sql, Agile, Bdd, Cucumber",English,"Lead, Senior",,Recent,https://www.linkedin.com/jobs/view/senior-qa-automation-engineer-playwright-selenium-at-cognizant-4456039711,2026-09-10T14:11:14.222501+00:00
14,Test Automation | USA,linkedin,Senior Test Automation Engineer,CACI International Inc,"Linthicum, MD",On-site,Internship,Test Automation,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-test-automation-engineer-at-caci-international-inc-4459534475,2026-09-10T14:11:14.222969+00:00
14,Test Automation | USA,linkedin,Senior Software Engineer in Test,CNN,"Atlanta, GA",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-software-engineer-in-test-at-cnn-4424742800,2026-09-10T14:11:14.223349+00:00
14,Test Automation | United Kingdom,linkedin,Senior Automation Tester / Quality Engineer,Eden Scott,"Glasgow, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-automation-tester-quality-engineer-at-eden-scott-4462597756,2026-09-10T14:11:16.703621+00:00
14,Test Automation | United Kingdom,linkedin,Senior Automation Test Engineer - eSC or eDV Clearance Required,IBM,"Manchester, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-automation-test-engineer-esc-or-edv-clearance-required-at-ibm-4401657691,2026-09-10T14:11:16.703974+00:00
14,Test Automation | United Kingdom,linkedin,Senior Automation Test Engineer - eSC or eDV Clearance Required,IBM,"Cheltenham, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-automation-test-engineer-esc-or-edv-clearance-required-at-ibm-4401661667,2026-09-10T14:11:16.704158+00:00
14,Test Automation | United Kingdom,linkedin,Senior Test Automation Engineer,Version 1,"Edinburgh, Scotland, United Kingdom",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-automation-engineer-at-version-1-4449859259,2026-09-10T14:11:16.704319+00:00
14,Test Automation | United Kingdom,linkedin,Senior Test Automation Engineer,Version 1,"Belfast, Northern Ireland, United Kingdom",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-automation-engineer-at-version-1-4449870153,2026-09-10T14:11:16.704624+00:00
14,Python Developer | Germany,linkedin,Senior Software Engineer Python (all genders),adesso SE,"Nuremberg, Bavaria, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-python-all-genders-at-adesso-se-4137442830,2026-09-10T14:11:19.148478+00:00
14,Python Developer | Germany,linkedin,Senior Software Engineer Python (m/f/d),casavi GmbH,"Munich, Bavaria, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-python-m-f-d-at-casavi-gmbh-4461718223,2026-09-10T14:11:19.148640+00:00
14,Python Developer | Germany,linkedin,Senior Software Engineer Python (m/w/x) Aviation & Aerospace Systems,SII Germany,"Hamburg, Hamburg, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-python-m-w-x-aviation-aerospace-systems-at-sii-germany-4432416026,2026-09-10T14:11:19.148798+00:00
14,Python Developer | Germany,linkedin,Senior Python Engineer (m/w/d),Rulemapping,"Berlin, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-engineer-m-w-d-at-rulemapping-4464335204,2026-09-10T14:11:19.148959+00:00
14,Python Developer | Germany,linkedin,"Senior Software Engineer, Python",Nelly Solutions,"Berlin, Germany",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-python-at-nelly-solutions-4434332752,2026-09-10T14:11:19.149612+00:00
14,Python Developer | Germany,linkedin,Senior Backend Engineer (m/f/d),Berliner Verlag,"Berlin, Berlin, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-backend-engineer-m-f-d-at-berliner-verlag-4461883757,2026-09-10T14:11:19.149762+00:00
14,Python Developer | Austria,linkedin,Senior Python Developer,DL Remote,"Graz, Styria, Austria",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-developer-at-dl-remote-4452729864,2026-09-10T14:11:21.570111+00:00
