relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Fullstack Java Developer (m/w/d),Hays Client,Köln,On-site,Contract,Java,"Scrum, Expert, R, Angular",German,Expert,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-java-developer-koeln-881803/1,2026-06-18T13:41:06.194500+00:00
14,Test Engineer | Germany,hays,Senior Supplier Quality Engineer (m/w/d),Hays Client,Dresden,Remote,Contract,,"R, Senior",German,Senior,,26.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-supplier-quality-engineer-dresden-878527/1,2026-06-18T13:41:52.115677+00:00
14,Testingenieur | Germany,hays,Senior HiL Testingenieur (Motoren) (m/w/d),Hays Client,Friedrichshafen,On-site,Contract,Hil,Senior,German,Senior,,22.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hil-testingenieur-motoren-friedrichshafen-871448/1,2026-06-18T13:42:16.874382+00:00
14,Test Automation | Germany,hays,Senior IT Projektmanager Labvantage (m/w/d),Hays Client,Ulm,On-site,Contract,,Senior,German,Senior,,03.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-it-projektmanager-labvantage-ulm-879923/1,2026-06-18T13:42:38.881620+00:00
14,Test Automation | Germany,hays,Projektmanager Technik / Pentester  (m/w/d),Hays Client,München,On-site,Contract,,"R, Expert",German,Expert,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-projektmanager-technik-pentester--muenchen-877325/1,2026-06-18T13:42:38.882942+00:00
14,Test Automation | Germany,hays,Cybersecurity Auditor / Consultant (m/w/d),Hays Client,München,On-site,Contract,,"R, Consultant",German,Consultant,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-cybersecurity-auditor-consultant-muenchen-877327/1,2026-06-18T13:42:38.883157+00:00
14,Test Automation | Germany,hays,Senior Prozessingenieur (m/w/d),Hays Client,München,On-site,Contract,,"R, Senior",German,Senior,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-prozessingenieur-muenchen-852498/1,2026-06-18T13:42:38.885316+00:00
14,Python Test | Germany,hays,Senior Platform Engineer Kubernetes (m/w/d),Hays Client,Remote,Remote,Contract,,"R, Senior, Kubernetes",German,Senior,,17.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-platform-engineer-kubernetes-remote-881574/1,2026-06-18T13:43:25.245679+00:00
14,Python Test | Germany,hays,After-Market Quality Test Engineer (m/f/d),Hays Client,Raunheim,On-site,Contract,,"R, Jira, Lead",English,Lead,,12.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-after-market-quality-test-engineer-raunheim-880596/1,2026-06-18T13:43:25.245920+00:00
14,Python Test | Germany,hays,Senior Integration/ Test Engineer ( ATM VOICE System)  (m/w/d),Hays Client,Wien,On-site,Contract,,"Senior, Project Manager, Linux, R, Gitlab",German,Senior,,09.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-integration--test-engineer--atm-voice-system--wien-880434/1,2026-06-18T13:43:25.246344+00:00
14,Python Test | Germany,hays,Digital Verification UWB Expert (m/f/d),Hays Client,Remote,Remote,Contract,Python,"Matlab, Lead, Expert",English,"Expert, Lead",,02.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-digital-verification-uwb-expert-remote-868600/1,2026-06-18T13:43:25.249352+00:00
14,Python Test | Germany,hays,Senior Python Entwickler (m/w/d),Hays Client,München,On-site,Contract,Python,"R, Fastapi, Senior",German,Senior,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-python-entwickler-muenchen-865759/1,2026-06-18T13:43:25.249775+00:00
0,Tester | Germany,hays,System Test & Validation Engineer – Onboard Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,,German,,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-test-validation-engineer--onboard-charger-obc-kassel-881860/1,2026-06-18T13:41:06.194762+00:00
0,Tester | Germany,hays,Systemintegrationsingenieur Bremsregelsystem (m/w/d),Hays Client,Untertürkheim,On-site,Contract,,,German,,,12.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systemintegrationsingenieur-bremsregelsystem-untertuerkheim-880927/1,2026-06-18T13:41:06.194997+00:00
0,Tester | Germany,hays,Montage- und Prüftechniker (Elektronik) (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,R,German,,,12.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-montage--und-prueftechniker-elektronik-schleswig-holstein-880939/1,2026-06-18T13:41:06.195221+00:00
0,Tester | Germany,hays,Validierungsingenieur eBike Drive Unit (m/w/d),Hays Client,Kusterdingen,On-site,Contract,,,German,,,20.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-validierungsingenieur-ebike-drive-unit-kusterdingen-878107/1,2026-06-18T13:41:06.196121+00:00
0,Tester | Germany,hays,Softwareentwickler für Testautomatisierung  (m/w/d),Hays Client,Chemnitz,On-site,Contract,Test Automation,R,German,,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-fuer-testautomatisierung--chemnitz-877306/1,2026-06-18T13:41:06.196335+00:00
0,Tester | Germany,hays,Software Test Engineer  (m/w/d),Hays Client,Gilching,On-site,Contract,,R,German,,,10.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-test-engineer--gilching-860927/1,2026-06-18T13:41:06.196985+00:00
0,Tester | Germany,hays,Systemingenieur (m/w/d),Hays Client,Großraum Bonn,On-site,Contract,,,German,,,25.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systemingenieur-grossraum-bonn-867591/1,2026-06-18T13:41:06.197195+00:00
0,Tester | Germany,hays,Multifunktionsoperator/Chemielaborant (m/w/d),Hays Client,Rotkreuz,On-site,Contract,,,German,,,24.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-multifunktionsoperator-chemielaborant-rotkreuz-867437/1,2026-06-18T13:41:06.197419+00:00
0,Tester | Germany,hays,BTV Getriebe eBike Systems  (m/w/d),Hays Client,Reutlingen,On-site,Contract,,R,German,,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-btv-getriebe-ebike-systems--reutlingen-865651/1,2026-06-18T13:41:06.197629+00:00
0,QA Engineer | Germany,hays,Softwareentwickler C++ (m/w/d),Hays Client,Jena,On-site,Contract,"C, C++, Pytest","Junior, Scrum",German,,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-c-jena-880455/1,2026-06-18T13:41:28.190648+00:00
0,QA Engineer | Germany,hays,Sotwareentwickler Fertigungssoftware (m/w/d),Hays Client,Jena,On-site,Contract,"C, C++, Ci/Cd","Scrum, Agile, R",German,,,09.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-sotwareentwickler-fertigungssoftware-jena-880479/1,2026-06-18T13:41:28.190894+00:00
0,QA Engineer | Germany,hays,MSAT Engineer Process Management (m/f/d),Hays Client,Zug,On-site,Contract,C,,English,,,28.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-msat-engineer-process-management-zug-878730/1,2026-06-18T13:41:28.191113+00:00
0,QA Engineer | Germany,hays,Project Engineer (m/w/d),Hays Client,Singen,On-site,Contract,C,,German,,,28.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-singen-872232/1,2026-06-18T13:41:28.191985+00:00
0,QA Engineer | Germany,hays,Product Quality Engineer QC (m/w/d),Hays Client,Zug,On-site,Contract,,R,German,,,13.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-product-quality-engineer-qc-zug-869844/1,2026-06-18T13:41:28.192207+00:00
0,QA Engineer | Germany,hays,Devops Engineer (m/w/d),Hays Client,Kreis Unna,On-site,Contract,Java,"Docker, Git, Intern, Devops, Angular, Spring Boot",German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-kreis-unna-861212/1,2026-06-18T13:41:28.192632+00:00
0,Test Engineer | Germany,hays,Product Cyber Security Engineer  (m/w/d),Hays Client,Ulm,On-site,Contract,Embedded Systems,R,German,,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-product-cyber-security-engineer--ulm-878001/1,2026-06-18T13:41:52.114140+00:00
0,Test Engineer | Germany,hays,Ingenieur für Anlagenplanung/ Plant Layout Engineer  (m/w/d),Hays Client,Berlin,On-site,Contract,,R,German,,,09.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-fuer-anlagenplanung--plant-layout-engineer--berlin-880432/1,2026-06-18T13:41:52.114357+00:00
0,Test Engineer | Germany,hays,Functional Test Engineer - Fahrzeugelektronik (m/w/d),Hays Client,Speyer,Remote,Contract,Embedded Systems,"R, Aspice",German,,,05.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-functional-test-engineer-fahrzeugelektronik-speyer-880198/1,2026-06-18T13:41:52.114805+00:00
0,Test Engineer | Germany,hays,Supplier Quality Engineer - Fluid Systems (m/w/d),Hays Client,Erlangen,On-site,Contract,,,German,,,05.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-supplier-quality-engineer-fluid-systems-erlangen-879822/1,2026-06-18T13:41:52.115022+00:00
0,Test Engineer | Germany,hays,Systems Engineer  (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,05.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systems-engineer--schleswig-holstein-872533/1,2026-06-18T13:41:52.115241+00:00
0,Test Engineer | Germany,hays,Manufacturing Engineer (m/w/d),Hays Client,Raum Frankfurt am Main,On-site,Contract,,R,German,,,29.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-manufacturing-engineer-raum-frankfurt-am-main-879192/1,2026-06-18T13:41:52.115456+00:00
0,Test Engineer | Germany,hays,Cyber Security Engineer ASM SIEM (m/w/d),Hays Client,Frankfurt,On-site,Contract,,"R, Asm",German,,,18.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-cyber-security-engineer-asm-siem-frankfurt-877659/1,2026-06-18T13:41:52.116108+00:00
0,Test Engineer | Germany,hays,Mechanical Design Engineer (m/w/d),Hays Client,Weilheim in Oberbayern,On-site,Contract,,R,German,,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-mechanical-design-engineer-weilheim-in-oberbayern-877322/1,2026-06-18T13:41:52.116317+00:00
0,Test Engineer | Germany,hays,Test Engineer Bremssysteme (m/w/d),Hays Client,Erlangen,On-site,Contract,,R,German,,,28.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-engineer-bremssysteme-erlangen-863233/1,2026-06-18T13:41:52.116528+00:00
0,Test Engineer | Germany,hays,Validation Test Engineer (m/w/d),Hays Client,Raunheim,On-site,Contract,,,German,,,23.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-validation-test-engineer-raunheim-871596/1,2026-06-18T13:41:52.116748+00:00
0,Test Engineer | Germany,hays,Security Engineer Web (m/w/d),Hays Client,Bayern,On-site,Contract,,,German,,,23.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-security-engineer-web-bayern-861381/1,2026-06-18T13:41:52.116966+00:00
0,Test Engineer | Germany,hays,DevOps Platform Engineer (m/w/d),Hays Client,Wiesbaden,On-site,Contract,,"R, Devops",German,,,10.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-platform-engineer-wiesbaden-867509/1,2026-06-18T13:41:52.117180+00:00
0,Test Engineer | Germany,hays,Software Engineer (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,31.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-schleswig-holstein-868562/1,2026-06-18T13:41:52.117602+00:00
0,Testingenieur | Germany,hays,Testingenieur (m/w/d),Hays Client,Stuttgart,On-site,Contract,,R,German,,,03.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingenieur-stuttgart-878717/1,2026-06-18T13:42:16.874151+00:00
0,Test Automation | Germany,hays,Fertigungsprozessentwickler (m/w/d),Hays Client,Prüm,On-site,Contract,,R,German,,,12.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fertigungsprozessentwickler-pruem-881097/1,2026-06-18T13:42:38.881144+00:00
0,Test Automation | Germany,hays,Logistikfachkraft (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"R, Oracle",German,,,05.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-logistikfachkraft-duesseldorf-880182/1,2026-06-18T13:42:38.881393+00:00
0,Test Automation | Germany,hays,High Voltage Engineering Specialist (m/w/d),Hays Client,Köln,On-site,Contract,,,German,,,29.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-high-voltage-engineering-specialist-koeln-879015/1,2026-06-18T13:42:38.881847+00:00
0,Test Automation | Germany,hays,Labormitarberiter für Assay-Entwicklung  (m/w/d),Hays Client,Gr. Mannheim,On-site,Contract,,"R, Gcp",German,,,21.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-labormitarberiter-fuer-assay-entwicklung--gr-mannheim-878304/1,2026-06-18T13:42:38.882073+00:00
0,Test Automation | Germany,hays,Projektingenieur Elektrotechnik (m/w/d),Hays Client,Berlin,On-site,Contract,,,German,,,19.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-projektingenieur-elektrotechnik-berlin-873810/1,2026-06-18T13:42:38.882504+00:00
0,Test Automation | Germany,hays,Abteilungsleiter Steuern (m/w/d),Hays Client,Hannover,On-site,Contract,,Head Of,German,,,12.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-abteilungsleiter-steuern-hannover-825018/1,2026-06-18T13:42:38.883594+00:00
0,Test Automation | Germany,hays,Technical Documentation Reviewer (m/w/d),Hays Client,Singen,On-site,Contract,,,German,,,30.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-technical-documentation-reviewer-singen-872597/1,2026-06-18T13:42:38.883815+00:00
0,Test Automation | Germany,hays,Mitarbeiter Prüfeld (m/w/d),Hays Client,Königswinter,On-site,Contract,,Associate,German,,,30.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-mitarbeiter-pruefeld-koenigswinter-868364/1,2026-06-18T13:42:38.884666+00:00
0,Test Automation | Germany,hays,IT Security Specialist – Regulatory & Technical Security  (m/w/d),Hays Client,München,On-site,Contract,,,German,,,26.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-it-security-specialist--regulatory-technical-security--muenchen-867614/1,2026-06-18T13:42:38.884882+00:00
0,Test Automation | Germany,hays,Ingenieur Energietechnik Sekundärtechnik (m/w/d),Hays Client,Erlangen,On-site,Contract,,R,German,,,09.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-energietechnik-sekundaertechnik-erlangen-830588/1,2026-06-18T13:42:38.885096+00:00
0,Python Developer | Germany,hays,XSOAR Developer / Engineer  (m/w/d),Hays Client,Baden-Württemberg,On-site,Contract,"Javascript, Python",Soc,German,,,15.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-xsoar-developer-engineer--baden-wuerttemberg-881178/1,2026-06-18T13:43:02.700132+00:00
0,Python Developer | Germany,hays,Fullstack Software Developer (m/f/d),Hays Client,Poing,On-site,Contract,,,English,,,01.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-software-developer-poing-878692/1,2026-06-18T13:43:02.700948+00:00
0,Python Developer | Germany,hays,Cloud Developer ADAS  (m/w/d),Hays Client,Ulm,On-site,Contract,"Ci/Cd, Python","Terraform, Argocd, Microservices, Kubernetes, R, Gitlab",German,,,28.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-cloud-developer-adas--ulm-879111/1,2026-06-18T13:43:02.701175+00:00
0,Python Developer | Germany,hays,DevOps Engineer (m/w/d),Hays Client,Wien,On-site,Contract,,Devops,German,,,27.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-wien-878851/1,2026-06-18T13:43:02.701391+00:00
0,Python Developer | Germany,hays,Fullstack Developer  (m/w/d),Hays Client,Wolfsburg,On-site,Contract,,,German,,,06.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-developer--wolfsburg-873421/1,2026-06-18T13:43:02.701600+00:00
0,Python Developer | Germany,hays,Embedded Software Developer (m/w/d),Hays Client,Poing,On-site,Contract,,R,German,,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-software-developer-poing-870349/1,2026-06-18T13:43:02.701823+00:00
0,Python Developer | Germany,hays,UI Prototyping Developer (m/w/d),Hays Client,Affalterbach,On-site,Contract,,R,German,,,10.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ui-prototyping-developer-affalterbach-865539/1,2026-06-18T13:43:02.702035+00:00
0,Python Test | Germany,hays,Software-Ingenieur - Verifikation und Dokumentation sicherheitskritischer Embedded Software (m/w/d),Hays Client,Sachsen,On-site,Contract,,R,German,,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-ingenieur-verifikation-und-dokumentation-sicherheitskritischer-embedded-software-sachsen-880663/1,2026-06-18T13:43:25.246139+00:00
0,Python Test | Germany,hays,Data Product Engineer – Microsoft Fabric & OneLake Security (m/w/d),Hays Client,Remote,Remote,Contract,Python,R,German,,,09.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-data-product-engineer--microsoft-fabric-onelake-security-remote-880488/1,2026-06-18T13:43:25.246558+00:00
0,Python Test | Germany,hays,Prozessentwicklungsingenieur (m/w/d),Hays Client,Prüm,On-site,Contract,,R,German,,,03.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-prozessentwicklungsingenieur-pruem-879595/1,2026-06-18T13:43:25.246793+00:00
0,Python Test | Germany,hays,Embedded Softwaretester  (m/w/d),Hays Client,Dresden,On-site,Contract,"C, C++, Can, Python, Spi",R,English,,,19.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-softwaretester--dresden-877631/1,2026-06-18T13:43:25.247223+00:00
0,Python Test | Germany,hays,Embedded Software / Board Controller FW (m/w/d),Hays Client,Dresden,On-site,Contract,Firmware,"R, Linux, Zephyr",German,,,08.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-software-board-controller-fw-dresden-873829/1,2026-06-18T13:43:25.248083+00:00
0,Python Test | Germany,hays,Scrum Master (m/w/d),Hays Client,Nürnberg,On-site,Contract,,"Scrum Master, R, Scrum",German,,,08.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-scrum-master-nuernberg-873717/1,2026-06-18T13:43:25.248293+00:00
0,Python Test | Germany,hays,Test Ingenieur (m/w/d),Hays Client,Bayern,Remote,Contract,Python,R,German,,,04.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-ingenieur-bayern-872752/1,2026-06-18T13:43:25.248502+00:00
0,Python Test | Germany,hays,ICT Administration & Application Manager (m/w/d),Hays Client,Magdeburg,On-site,Contract,"Ci/Cd, Python","Kubernetes, Golang, Openshift, Argocd, Gitlab Ci, R, Gitlab",German,,,22.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ict-administration-application-manager-magdeburg-871371/1,2026-06-18T13:43:25.248721+00:00
0,Python Test | Germany,hays,Ingenieur Elektrotechnik Schwerpunkt Automatisierung (m/w/d),Hays Client,Hessen,On-site,Contract,,R,German,,,02.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-elektrotechnik-schwerpunkt-automatisierung-hessen-846480/1,2026-06-18T13:43:25.249136+00:00
0,Firmware Engineer | Germany,hays,Hardware Product Owner & Development Engineer (m/f/d),Hays Client,Zug,On-site,Contract,Integration Testing,"Scrum, Safe, Product Owner, Kanban",English,,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-product-owner-development-engineer-zug-880759/1,2026-06-18T13:43:49.466700+00:00
0,Firmware Engineer | Germany,hays,Managed Services Engineer  (m/w/d),Hays Client,Eschborn/remote,Remote,Contract,Firmware,,German,,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-managed-services-engineer--eschborn-remote-879323/1,2026-06-18T13:43:49.466939+00:00
