relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
44,Firmware Engineer | Poland,linkedin,Senior Java Software Engineer,Intellias,Poland,On-site,Full-time,Java,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-java-software-engineer-at-intellias-4389205989,2026-03-26T10:59:59.051243+00:00
14,Tester | Remote,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Berlin, Berlin, Germany",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4388792594,2026-03-26T10:57:19.537128+00:00
14,Tester | Remote,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Stuttgart, Baden-Württemberg, Germany",Remote,Full-time,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4389002014,2026-03-26T10:57:19.537297+00:00
14,Tester | Slovakia,linkedin,Senior Software Engineer in Test,Filevine,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-in-test-at-filevine-4380694723,2026-03-26T10:57:21.902912+00:00
14,Tester | USA,linkedin,Quality Assurance Tester- Junior (Remote),Lensa,"Dallas, TX",Remote,Contract,Can,"Product Owner, Junior, Senior, Associate, Agile",English,Senior,,Recent,https://www.linkedin.com/jobs/view/quality-assurance-tester-junior-remote-at-lensa-4390319924,2026-03-26T10:57:29.099042+00:00
14,QA Engineer | Austria,linkedin,Senior Quality Assurance Engineer,Bybit EU,"Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-bybit-eu-4389567167,2026-03-26T10:57:36.255399+00:00
14,QA Engineer | Remote,linkedin,Senior QA Engineer (m/w/d),Fairsource,Germany,On-site,Contract,"C, Ci/Cd, Java, Javascript, Jenkins, Playwright, Python, Selenium, Test Automation, Typescript","C#, Senior, Cucumber, Gitlab, Agile, Bdd, R, Cypress, Azure, Devops",German,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-qa-engineer-m-w-d-at-fairsource-4382782610,2026-03-26T10:57:40.975077+00:00
14,QA Engineer | Remote,linkedin,Senior Quality Assurance Engineer,HiveMQ,"Berlin, Berlin, Germany",Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-hivemq-4364406728,2026-03-26T10:57:40.975228+00:00
14,QA Engineer | Slovakia,linkedin,Expert Quality Assurance (QA) Engineer,Qualco Group,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Expert,English,Expert,,Recent,https://sk.linkedin.com/jobs/view/expert-quality-assurance-qa-engineer-at-qualco-group-4381409824,2026-03-26T10:57:43.354652+00:00
14,QA Engineer | Slovakia,linkedin,"Senior QA Engineer, IMF",Bloomreach,Slovakia,On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-qa-engineer-imf-at-bloomreach-4383319917,2026-03-26T10:57:43.355025+00:00
14,QA Engineer | Slovakia,linkedin,Manual QA Engineer (Middle/Senior) ID48059,AgileEngine,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/manual-qa-engineer-middle-senior-id48059-at-agileengine-4376735337,2026-03-26T10:57:43.355812+00:00
14,QA Engineer | Czech Republic,linkedin,Senior QA Automation Engineer - Health Care,Truelogic Software,Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-qa-automation-engineer-health-care-at-truelogic-software-4389942226,2026-03-26T10:57:45.731448+00:00
14,QA Engineer | Czech Republic,linkedin,Senior QA Automation Engineer (Playwright),Lumenalta,Dominican Republic,On-site,Full-time,Playwright,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-qa-automation-engineer-playwright-at-lumenalta-4389072758,2026-03-26T10:57:45.732554+00:00
14,QA Engineer | Poland,linkedin,Senior QA Engineer,Rydoo,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-at-rydoo-4383329264,2026-03-26T10:57:48.092542+00:00
14,QA Engineer | Poland,linkedin,Senior QA Engineer,Coforge,"Cracow, Małopolskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-qa-engineer-at-coforge-4383940408,2026-03-26T10:57:48.093404+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA Engineer,White Rose Education,"Leeds, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-white-rose-education-4383701609,2026-03-26T10:57:52.890314+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA Engineer,MILE,"London, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-mile-4385321758,2026-03-26T10:57:52.891121+00:00
14,QA Engineer | United Kingdom,linkedin,Senior QA Engineer,MILE,"Manchester, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-engineer-at-mile-4385326493,2026-03-26T10:57:52.891269+00:00
14,Testingenieur | Switzerland,linkedin,Senior ICT Test Engineer (m/w/d) Temporär - Bern,INACTA,"Bern, Berne, Switzerland",On-site,Full-time,,"Senior, R",English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-ict-test-engineer-m-w-d-tempor%C3%A4r-bern-at-inacta-4390155659,2026-03-26T10:58:22.143964+00:00
14,Testingenieur | Slovakia,linkedin,Workplace Senior Engineer with German,Deutsche Telekom IT Solutions Slovakia,"Košice, Kosice, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/workplace-senior-engineer-with-german-at-deutsche-telekom-it-solutions-slovakia-4390491093,2026-03-26T10:58:26.933356+00:00
14,Testingenieur | United Kingdom,linkedin,Test Engineer,BSI,"Hemel Hempstead, England, United Kingdom",On-site,Contract,Can,"Senior, Expert",English,"Expert, Senior",,Recent,https://uk.linkedin.com/jobs/view/test-engineer-at-bsi-4385947198,2026-03-26T10:58:36.738583+00:00
14,Testingenieur | United Kingdom,linkedin,Test Engineer,BSI,"Hemel Hempstead, England, United Kingdom",On-site,Contract,Can,"Senior, Expert",English,"Expert, Senior",,Recent,https://uk.linkedin.com/jobs/view/test-engineer-at-bsi-4367290557,2026-03-26T10:58:36.738925+00:00
14,Testingenieur | United Kingdom,linkedin,Quality Assurance Engineer,Thompson Aero Seating,"Portadown, Northern Ireland, United Kingdom",On-site,Contract,Can,"Lead, Staff, Assembly",English,"Lead, Staff",,Recent,https://uk.linkedin.com/jobs/view/quality-assurance-engineer-at-thompson-aero-seating-4390041395,2026-03-26T10:58:36.739087+00:00
14,Testingenieur | United Kingdom,linkedin,Test Engineer - PPE,BSI,"Hemel Hempstead, England, United Kingdom",On-site,Contract,Can,"Senior, Expert",English,"Expert, Senior",,Recent,https://uk.linkedin.com/jobs/view/test-engineer-ppe-at-bsi-4372575424,2026-03-26T10:58:36.739241+00:00
14,Test Automation | Germany,linkedin,Senior Quality Assurance Engineer,SGI,"Berlin, Germany",Hybrid,Internship,"Continuous Testing, Python","Senior, Agile",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-sgi-4363260868,2026-03-26T10:58:39.185404+00:00
14,Test Automation | Germany,linkedin,Senior Quality Engineer,GLS/NXT,"Berlin, Berlin, Germany",Remote,Contract,"Can, Ci/Cd, Github Actions, Go, Java, Playwright, Python, Selenium, Test Automation, Typescript","Cypress, Kotlin, Git, Senior, Github, Datadog, Agile",English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-quality-engineer-at-gls-nxt-4381213320,2026-03-26T10:58:39.185709+00:00
14,Test Automation | Austria,linkedin,Test Manager (m/f/d),Deutsche Telekom,"Fünfkirchen, Lower Austria, Austria",On-site,Full-time,,,English,Test Manager,,Recent,https://at.linkedin.com/jobs/view/test-manager-m-f-d-at-deutsche-telekom-4390352534,2026-03-26T10:58:41.550139+00:00
14,Test Automation | Austria,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,Austria,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4388798079,2026-03-26T10:58:41.550949+00:00
14,Test Automation | Austria,linkedin,Senior Test Automation Engineer,AVILOO Battery Diagnostics,"Laxenburg, Lower Austria, Austria",On-site,Full-time,Test Automation,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-test-automation-engineer-at-aviloo-battery-diagnostics-4378165473,2026-03-26T10:58:41.551406+00:00
14,Test Automation | Switzerland,linkedin,Senior Quality Control (QC) Project Lead,Eumedica Pharmaceuticals AG,"Basel, Basel, Switzerland",On-site,Contract,,"Senior, Lead",English,"Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/senior-quality-control-qc-project-lead-at-eumedica-pharmaceuticals-ag-4390145265,2026-03-26T10:58:43.925594+00:00
14,Test Automation | Switzerland,linkedin,Senior Quality Analyst,RBW Consulting,"Lachen, Schwyz, Switzerland",On-site,Full-time,,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-quality-analyst-at-rbw-consulting-4353430000,2026-03-26T10:58:43.926577+00:00
14,Test Automation | Switzerland,linkedin,Test Lead Software (H/F),fortil,Lausanne Metropolitan Area,On-site,Full-time,,Lead,English,Lead,,Recent,https://ch.linkedin.com/jobs/view/test-lead-software-h-f-at-fortil-4387291941,2026-03-26T10:58:43.927065+00:00
14,Test Automation | Slovakia,linkedin,Senior QA Automation Engineer,Hotovo,"Košice, Kosice, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-qa-automation-engineer-at-hotovo-4384485200,2026-03-26T10:58:48.673379+00:00
14,Test Automation | Slovakia,linkedin,Senior Quality Assurance Tester,Fiserv,"Bratislava, Bratislava, Slovakia",On-site,Full-time,,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-quality-assurance-tester-at-fiserv-4390131360,2026-03-26T10:58:48.673538+00:00
14,Test Automation | Czech Republic,linkedin,QA Lead,Powdevs,Dominican Republic,On-site,Full-time,,Lead,English,"Lead, QA Lead",,Recent,https://do.linkedin.com/jobs/view/qa-lead-at-powdevs-4383781317,2026-03-26T10:58:51.034689+00:00
14,Test Automation | Poland,linkedin,Senior Automation Engineer,SOFTETA,"Cracow, Małopolskie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-automation-engineer-at-softeta-4388345146,2026-03-26T10:58:53.457344+00:00
14,Test Automation | USA,linkedin,QA Automation Lead,The Value Maximizer,"New York, NY",On-site,Full-time,,Lead,English,Lead,,Recent,https://www.linkedin.com/jobs/view/qa-automation-lead-at-the-value-maximizer-4389746131,2026-03-26T10:58:56.001501+00:00
14,Test Automation | United Kingdom,linkedin,Senior Quality Assurance Analyst (Customer Operations),Kroo Bank,"London, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-analyst-customer-operations-at-kroo-bank-4387808621,2026-03-26T10:58:58.430964+00:00
14,Test Automation | United Kingdom,linkedin,Senior Quality Engineer,Opus 2,"Edinburgh, Scotland, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-engineer-at-opus-2-4384317705,2026-03-26T10:58:58.431138+00:00
14,Test Automation | United Kingdom,linkedin,Senior Quality Assurance Tester,Dlala Studios,"Witham, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-quality-assurance-tester-at-dlala-studios-4378767706,2026-03-26T10:58:58.431294+00:00
14,Test Automation | United Kingdom,linkedin,Testing Lead,Deloitte,"Glasgow, Scotland, United Kingdom",On-site,Full-time,,Lead,English,Lead,,Recent,https://uk.linkedin.com/jobs/view/testing-lead-at-deloitte-4383546538,2026-03-26T10:58:58.431774+00:00
14,Test Automation | United Kingdom,linkedin,Senior QA Analyst,Rebellion,"Oxford, England, United Kingdom",On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-qa-analyst-at-rebellion-4383721363,2026-03-26T10:58:58.432093+00:00
14,Python Developer | Austria,linkedin,Senior Python Developer (m/f/d) - Dataspaces Project (REF5277D),Deutsche Telekom,"Fünfkirchen, Lower Austria, Austria",On-site,Contract,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-developer-m-f-d-dataspaces-project-ref5277d-at-deutsche-telekom-4390303244,2026-03-26T10:59:03.325255+00:00
14,Python Developer | Austria,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,Austria,On-site,Contract,Python,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4389494548,2026-03-26T10:59:03.325577+00:00
14,Python Developer | Switzerland,linkedin,Co-Tech Lead & Senior Python Engineer,LocalBini,Sankt Gallen Metropolitan Area,On-site,Full-time,Python,"Senior, Lead, Tech Lead",English,"Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/co-tech-lead-senior-python-engineer-at-localbini-4379945063,2026-03-26T10:59:05.727985+00:00
14,Python Developer | Slovakia,linkedin,Senior Python Software Engineer,Bloomreach,Slovakia,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-python-software-engineer-at-bloomreach-4365530614,2026-03-26T10:59:10.621672+00:00
14,Python Developer | Czech Republic,linkedin,Senior Back End Engineer - Python (DR),Truelogic Software,Dominican Republic,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-back-end-engineer-python-dr-at-truelogic-software-4388365827,2026-03-26T10:59:12.977296+00:00
14,Python Developer | Poland,linkedin,Senior Python Developer,R Systems,Poland,On-site,Full-time,Python,"Senior, R",English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-python-developer-at-r-systems-4385001808,2026-03-26T10:59:15.373588+00:00
14,Python Test | Austria,linkedin,SENIOR SOFTWARE DEVELOPER & TEST ANAYLST,techPEOPLE Group,"Vienna, Austria",On-site,Full-time,,Senior,English,Senior,,Recent,https://at.linkedin.com/jobs/view/senior-software-developer-test-anaylst-at-techpeople-group-4390124833,2026-03-26T10:59:25.278773+00:00
14,Python Test | Switzerland,linkedin,Senior Test Automation Engineer / QA Lead (m/w/d),PEAX AG,"Lucerne, Lucerne, Switzerland",On-site,Full-time,Test Automation,"Senior, Lead",English,"Lead, QA Lead, Senior",,Recent,https://ch.linkedin.com/jobs/view/senior-test-automation-engineer-qa-lead-m-w-d-at-peax-ag-4385092784,2026-03-26T10:59:27.679480+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Berlin, Berlin, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4389498432,2026-03-26T10:59:30.067211+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Frankfurt am Main, Hesse, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4389702352,2026-03-26T10:59:30.067368+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Hamburg, Hamburg, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4389488814,2026-03-26T10:59:30.067525+00:00
14,Python Test | Remote,linkedin,Senior Python Systems Developer - Functional Testing Project,Mindrift,"Stuttgart, Baden-Württemberg, Germany",Remote,Contract,Python,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-python-systems-developer-functional-testing-project-at-mindrift-4389496463,2026-03-26T10:59:30.067846+00:00
14,Python Test | Czech Republic,linkedin,Senior SDET,Perform,Dominican Republic,On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-sdet-at-perform-4344131612,2026-03-26T10:59:34.813951+00:00
14,Python Test | Poland,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,Poland,On-site,Full-time,Python,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4388777983,2026-03-26T10:59:37.207248+00:00
14,Python Test | USA,linkedin,Senior Software QA Engineer,Nova Biomedical,"Norwood, MA",On-site,Full-time,,Senior,English,Senior,,Recent,https://www.linkedin.com/jobs/view/senior-software-qa-engineer-at-nova-biomedical-4390059122,2026-03-26T10:59:39.750782+00:00
14,Python Test | United Kingdom,linkedin,Senior Test Engineer,Kainos,United Kingdom,On-site,Full-time,,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-test-engineer-at-kainos-4384047666,2026-03-26T10:59:42.225454+00:00
14,Python Test | United Kingdom,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"London, England, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4388791634,2026-03-26T10:59:42.225786+00:00
14,Python Test | United Kingdom,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Birmingham, England, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4388781900,2026-03-26T10:59:42.226246+00:00
14,Python Test | United Kingdom,linkedin,Senior Software Engineer in Test (Full-Stack/Python),Mindrift,"Manchester, England, United Kingdom",On-site,Full-time,Python,Senior,English,Senior,,Recent,https://uk.linkedin.com/jobs/view/senior-software-engineer-in-test-full-stack-python-at-mindrift-4388780951,2026-03-26T10:59:42.226397+00:00
14,Firmware Engineer | Germany,linkedin,Senior Software Engineer - Nvidia Platform,Autobrains Technologies,"Munich, Bavaria, Germany",On-site,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-software-engineer-nvidia-platform-at-autobrains-technologies-4380448307,2026-03-26T10:59:44.624293+00:00
14,Firmware Engineer | Switzerland,linkedin,Senior Embedded Systems Engineer,Hyperscale Power,Zürich Metropolitan Area,On-site,Full-time,Embedded Systems,Senior,English,Senior,,Recent,https://ch.linkedin.com/jobs/view/senior-embedded-systems-engineer-at-hyperscale-power-4390364519,2026-03-26T10:59:49.399663+00:00
14,Firmware Engineer | Remote,linkedin,Senior Embedded Engineer (m/w/d),QAVION GROUP,Germany,Remote,Full-time,,Senior,English,Senior,,Recent,https://de.linkedin.com/jobs/view/senior-embedded-engineer-m-w-d-at-qavion-group-4384798011,2026-03-26T10:59:51.843914+00:00
14,Firmware Engineer | Remote,linkedin,Software Engineer (Backend focused),Pubgenius Inc.,"Berlin, Berlin, Germany",Remote,Contract,"Javascript, Typescript","Project Manager, Aws, Mysql, Senior, Node.Js, Redis, React",English,Senior,,Recent,https://de.linkedin.com/jobs/view/software-engineer-backend-focused-at-pubgenius-inc-4382987359,2026-03-26T10:59:51.844223+00:00
14,Firmware Engineer | Slovakia,linkedin,Java/Kotlin Software Engineer,Innovatrics,"Bratislava, Slovakia",Remote,Contract,"Ci/Cd, Java","Aws, Junit, Graphql, Grafana, Jira, Senior, Grpc, Confluence, Junior, Gitlab Ci",English,"Lead, Senior",,Recent,https://sk.linkedin.com/jobs/view/java-kotlin-software-engineer-at-innovatrics-4388091516,2026-03-26T10:59:54.216964+00:00
14,Firmware Engineer | Slovakia,linkedin,Software Engineer,Ohpen,"Bratislava, Slovakia",Hybrid,Internship,"C, C++, Java, Rust","Aws, Senior, Terraform, Spring Boot",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/software-engineer-at-ohpen-4384459298,2026-03-26T10:59:54.217382+00:00
14,Firmware Engineer | Slovakia,linkedin,Senior Software Engineer,Bloomreach,Slovakia,Remote,Contract,"Ai Agents, Can, Go, Python","Engineering Manager, Mongodb, Google Cloud, Sql, Gitlab, Senior, Redis, Kubernetes, Gcp",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/senior-software-engineer-at-bloomreach-4289254318,2026-03-26T10:59:54.217703+00:00
14,Firmware Engineer | Slovakia,linkedin,Principal Software Engineer,ITmatch,Slovakia,Remote,Contract,"Go, Python","Aws, Spark, Postgresql, Principal",English,Principal,,Recent,https://sk.linkedin.com/jobs/view/principal-software-engineer-at-itmatch-4387699936,2026-03-26T10:59:54.217901+00:00
14,Firmware Engineer | Slovakia,linkedin,Node.js Software Engineer Mid-senior,Innovatrics,"Bratislava, Slovakia",Hybrid,Contract,"Can, Ci/Cd, Playwright, Typescript, Unit Testing","Git, Graphql, Jira, Senior, Junior, Gitlab Ci, Gitlab, Agile, Nestjs, Rest Api",English,Senior,,Recent,https://sk.linkedin.com/jobs/view/node-js-software-engineer-mid-senior-at-innovatrics-4386681003,2026-03-26T10:59:54.218492+00:00
14,Firmware Engineer | Czech Republic,linkedin,Senior Software Engineer,Spirit Technologies,"Santiago de los Caballeros, Santiago, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-software-engineer-at-spirit-technologies-4386360120,2026-03-26T10:59:56.605813+00:00
14,Firmware Engineer | Czech Republic,linkedin,Senior Software Engineer,CrecerLab,"Santo Domingo, Distrito Nacional, Dominican Republic",On-site,Full-time,,Senior,English,Senior,,Recent,https://do.linkedin.com/jobs/view/senior-software-engineer-at-crecerlab-4386540400,2026-03-26T10:59:56.605974+00:00
14,Firmware Engineer | Poland,linkedin,Senior/Software Engineer III (Frontend),Box,"Warsaw, Mazowieckie, Poland",On-site,Full-time,,Senior,English,Senior,,Recent,https://pl.linkedin.com/jobs/view/senior-software-engineer-iii-frontend-at-box-4389214847,2026-03-26T10:59:59.051715+00:00
14,Firmware Engineer | USA,linkedin,Embedded Software Engineer,Meta,"Burlingame, CA",On-site,Internship,"C, C++, Firmware, I2C, Rtos, Spi","Machine Learning, Architect, Lead, Computer Vision",English,"Architect, Lead",,Recent,https://www.linkedin.com/jobs/view/embedded-software-engineer-at-meta-4301803390,2026-03-26T11:00:01.592313+00:00
0,Tester | Germany,linkedin,Software Engineer in Test (Berlin),Cresta,"Berlin, Berlin, Germany",On-site,Contract,"Can, Ci/Cd, Go, Playwright, Typescript","Cypress, Grafana, Manual Testing, Datadog",English,,,Recent,https://de.linkedin.com/jobs/view/software-engineer-in-test-berlin-at-cresta-4343158227,2026-03-26T10:57:12.296492+00:00
0,Tester | Germany,linkedin,QA Tester (f/m/d),justDice,"Hamburg, Hamburg, Germany",Remote,Full-time,Test Automation,"Agile, Rest Api, Manual Testing, React",English,,,Recent,https://de.linkedin.com/jobs/view/qa-tester-f-m-d-at-justdice-4384028500,2026-03-26T10:57:12.296688+00:00
0,Tester | Germany,linkedin,QA Engineer,Assemblio,"Stuttgart, Baden-Württemberg, Germany",On-site,Full-time,"Ci/Cd, Integration Testing","Cypress, Grpc, Devops",English,,,Recent,https://de.linkedin.com/jobs/view/qa-engineer-at-assemblio-4376728345,2026-03-26T10:57:12.297046+00:00
0,Tester | Germany,linkedin,QA Manager / Software Tester (all genders),JAKALA,"Hamburg, Germany",Remote,Full-time,"Playwright, Selenium","R, Product Owner",German,,,Recent,https://de.linkedin.com/jobs/view/qa-manager-software-tester-all-genders-at-jakala-4384027574,2026-03-26T10:57:12.297207+00:00
0,Tester | Germany,linkedin,Softwaretester / Quality Assurance Tester (m/w/d),INIT Group,"Karlsruhe, Baden-Württemberg, Germany",Remote,Full-time,Test Automation,"R, Confluence, Zephyr, Jira",German,,,Recent,https://de.linkedin.com/jobs/view/softwaretester-quality-assurance-tester-m-w-d-at-init-group-4389285418,2026-03-26T10:57:12.297362+00:00
