relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
29,Tester | Remote,linkedin,Software Engineer in Test,Microsoft,India,Remote,Full-time,,,English,,,Recent,https://in.linkedin.com/jobs/view/software-engineer-in-test-at-microsoft-4366638657,2026-04-16T11:09:03.924665+00:00
0,Tester | Remote,linkedin,Manual Tester,Addendum,"Riga, Riga, Latvia",On-site,Contract,"Can, System Testing","Agile, Scrum, Sql, Manual Testing",English,,,Recent,https://lv.linkedin.com/jobs/view/manual-tester-at-addendum-4384735826,2026-04-16T11:09:03.924943+00:00
0,Tester | Remote,linkedin,Quality Control - Software Tester,The Despatch Company,United Kingdom,Remote,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/quality-control-software-tester-at-the-despatch-company-4395328415,2026-04-16T11:09:03.925065+00:00
0,Tester | Remote,linkedin,Manual Tester,Addendum,"Vilnius, Vilniaus, Lithuania",Remote,Full-time,,,English,,,Recent,https://lt.linkedin.com/jobs/view/manual-tester-at-addendum-4384748426,2026-04-16T11:09:03.925189+00:00
0,Tester | Remote,linkedin,Application Tester,Electrosoft,United States,Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/application-tester-at-electrosoft-4399400097,2026-04-16T11:09:03.925314+00:00
0,QA Engineer | Germany,linkedin,Manual QA Engineer,Enroute,"Monterrey, Nuevo León, Mexico",On-site,Full-time,,,English,,,Recent,https://mx.linkedin.com/jobs/view/manual-qa-engineer-at-enroute-4401797691,2026-04-16T11:09:19.354760+00:00
0,QA Engineer | Germany,linkedin,QA Engineer (Manual & Automation),Kuku,"Bengaluru, Karnataka, India",On-site,Full-time,,,English,,,Recent,https://in.linkedin.com/jobs/view/qa-engineer-manual-automation-at-kuku-4400715747,2026-04-16T11:09:19.355177+00:00
0,QA Engineer | Germany,linkedin,QA & QC Engineer,Gradiant,"Muscat, Masqaţ, Oman",On-site,Full-time,,,English,,,Recent,https://om.linkedin.com/jobs/view/qa-qc-engineer-at-gradiant-4386352452,2026-04-16T11:09:19.355309+00:00
0,QA Engineer | Germany,linkedin,Quality Assurance - Product,Shopee,"Jakarta, Indonesia",On-site,Full-time,,,English,,,Recent,https://id.linkedin.com/jobs/view/quality-assurance-product-at-shopee-4303696098,2026-04-16T11:09:19.355446+00:00
0,QA Engineer | Germany,linkedin,QA/Software Testing,Egnoto,"Jaipur, Rajasthan, India",On-site,Full-time,,,English,,,Recent,https://in.linkedin.com/jobs/view/qa-software-testing-at-egnoto-4401589724,2026-04-16T11:09:19.355573+00:00
0,QA Engineer | Germany,linkedin,Quality Assurance Engineer,Joulé,"Redmond, WA",On-site,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/quality-assurance-engineer-at-joul%C3%A9-4402021063,2026-04-16T11:09:19.355719+00:00
0,QA Engineer | Germany,linkedin,Quality Assurance Engineer,ASE Global,"Penang, Malaysia",On-site,Full-time,,,English,,,Recent,https://my.linkedin.com/jobs/view/quality-assurance-engineer-at-ase-global-4400086278,2026-04-16T11:09:19.355848+00:00
0,QA Engineer | Remote,linkedin,Quality Assurance Engineer,Linnworks,"Greater London, England, United Kingdom",Remote,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/quality-assurance-engineer-at-linnworks-4400011334,2026-04-16T11:09:27.011383+00:00
0,QA Engineer | Remote,linkedin,QA Automation Engineer,Litify,"New York, NY",Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/qa-automation-engineer-at-litify-4401529037,2026-04-16T11:09:27.011516+00:00
0,QA Engineer | Remote,linkedin,QA Engineer II,Acorns,United States,Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/qa-engineer-ii-at-acorns-4362339582,2026-04-16T11:09:27.011663+00:00
0,QA Engineer | Remote,linkedin,Quality Assurance Engineer,Insight Global,India,Remote,Full-time,,,English,,,Recent,https://in.linkedin.com/jobs/view/quality-assurance-engineer-at-insight-global-4401794149,2026-04-16T11:09:27.011798+00:00
0,QA Engineer | Remote,linkedin,QA Engineer II (Manual),EBizCharge,Canada,Remote,Full-time,,,English,,,Recent,https://ca.linkedin.com/jobs/view/qa-engineer-ii-manual-at-ebizcharge-4380036880,2026-04-16T11:09:27.012060+00:00
0,QA Engineer | Remote,linkedin,QA / Test Engineer,Careerswift,"San Francisco, CA",Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/qa-test-engineer-at-careerswift-4402047084,2026-04-16T11:09:27.012314+00:00
0,QA Engineer | Remote,linkedin,QA Engineer - Immediate Start,Whiteshield,"Dubai, Dubai, United Arab Emirates",Remote,Full-time,,,English,,,Recent,https://ae.linkedin.com/jobs/view/qa-engineer-immediate-start-at-whiteshield-4394895940,2026-04-16T11:09:27.012439+00:00
0,Test Engineer | Germany,linkedin,Application Tester (Manual QA),ID Tech Solutions Pvt. Ltd.,"Gurugram, Haryana, India",On-site,Full-time,,,English,,,Recent,https://in.linkedin.com/jobs/view/application-tester-manual-qa-at-id-tech-solutions-pvt-ltd-4400738014,2026-04-16T11:09:42.954846+00:00
0,Test Engineer | Germany,linkedin,Amazon Connect QA Tester (Voice & Chat),ShyftLabs,"Noida, Uttar Pradesh, India",On-site,Full-time,,,English,,,Recent,https://in.linkedin.com/jobs/view/amazon-connect-qa-tester-voice-chat-at-shyftlabs-4402031505,2026-04-16T11:09:42.955159+00:00
0,Test Engineer | Germany,linkedin,Software Quality Assurance Engineer,Chai Point,"Bengaluru, Karnataka, India",On-site,Full-time,,,English,,,Recent,https://in.linkedin.com/jobs/view/software-quality-assurance-engineer-at-chai-point-4399179929,2026-04-16T11:09:42.955306+00:00
0,Test Engineer | Germany,linkedin,QA Tester (Manual),Jubelio,"Jakarta, Jakarta, Indonesia",On-site,Full-time,,,English,,,Recent,https://id.linkedin.com/jobs/view/qa-tester-manual-at-jubelio-4399652288,2026-04-16T11:09:42.955434+00:00
0,Test Engineer | Germany,linkedin,Quality Assurance Tester,Emdad By Elm,"Riyadh, Saudi Arabia",On-site,Full-time,,,English,,,Recent,https://sa.linkedin.com/jobs/view/quality-assurance-tester-at-emdad-by-elm-4402610225,2026-04-16T11:09:42.955705+00:00
0,Test Engineer | Germany,linkedin,Manual Tester - Loans,AQM Technologies,"Mumbai, Maharashtra, India",On-site,Full-time,,,English,,,Recent,https://in.linkedin.com/jobs/view/manual-tester-loans-at-aqm-technologies-4401046299,2026-04-16T11:09:42.956098+00:00
0,Test Engineer | Remote,linkedin,AI/ML Engineering (Fulltime Role),Noblesoft Technologies,United States,Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/ai-ml-engineering-fulltime-role-at-noblesoft-technologies-4400769356,2026-04-16T11:09:50.985205+00:00
0,Test Engineer | Remote,linkedin,TESTADOR JR - RHA1409,Spread Tecnologia,Brazil,Remote,Full-time,,,English,,,Recent,https://br.linkedin.com/jobs/view/testador-jr-rha1409-at-spread-tecnologia-4400126373,2026-04-16T11:09:50.985346+00:00
0,Test Engineer | Remote,linkedin,TESTADOR JR (TESTES AUTOMATIZADOS - TARDE/NOITE) - RHA1394,Spread Tecnologia,Brazil,Remote,Full-time,,,English,,,Recent,https://br.linkedin.com/jobs/view/testador-jr-testes-automatizados-tarde-noite-rha1394-at-spread-tecnologia-4399018326,2026-04-16T11:09:50.985484+00:00
0,Test Engineer | Remote,linkedin,Manual Tester,Xenith Solutions,"Virginia, United States",Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/manual-tester-at-xenith-solutions-4400001915,2026-04-16T11:09:50.985613+00:00
0,Test Engineer | Remote,linkedin,Software Engineer (mobile),INNERGY,"Cracow, Małopolskie, Poland",Remote,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/software-engineer-mobile-at-innergy-4401757477,2026-04-16T11:09:50.985806+00:00
0,Test Engineer | Remote,linkedin,QA Funcional / Tester Manual,Jobgether,Greater Madrid Metropolitan Area,Remote,Full-time,,,English,,,Recent,https://es.linkedin.com/jobs/view/qa-funcional-tester-manual-at-jobgether-4400715527,2026-04-16T11:09:50.985944+00:00
0,Test Engineer | Remote,linkedin,QA Engineer (Manual testing),PSI CRO,"Riga, Riga, Latvia",Remote,Full-time,,Manual Testing,English,,,Recent,https://lv.linkedin.com/jobs/view/qa-engineer-manual-testing-at-psi-cro-4395654388,2026-04-16T11:09:50.986074+00:00
0,Test Engineer | Remote,linkedin,Manual QA engineer,Object First,Poland,Remote,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/manual-qa-engineer-at-object-first-4401744430,2026-04-16T11:09:50.986209+00:00
0,Test Engineer | Remote,linkedin,Quality Assurance Engineer,Reveal Technology,United States,Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/quality-assurance-engineer-at-reveal-technology-4402653953,2026-04-16T11:09:50.986340+00:00
0,Testingenieur | Germany,linkedin,Tamheer Opportunities,Confidential Government,"Riyadh, Saudi Arabia",On-site,Full-time,,,English,,,Recent,https://sa.linkedin.com/jobs/view/tamheer-opportunities-at-confidential-government-4400989331,2026-04-16T11:10:06.876166+00:00
0,Testingenieur | Germany,linkedin,Technicien Methodes Usinage & Programmeur,Rotarex,"Lintgen, Luxembourg, Luxembourg",On-site,Full-time,,,English,,,Recent,https://lu.linkedin.com/jobs/view/technicien-methodes-usinage-programmeur-at-rotarex-4401421529,2026-04-16T11:10:06.876342+00:00
0,Testingenieur | Germany,linkedin,Vehicle Testing Engineer,Applus+ IDIADA,"Nuneaton, England, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/vehicle-testing-engineer-at-applus%2B-idiada-4399994009,2026-04-16T11:10:06.876482+00:00
0,Testingenieur | Germany,linkedin,Quality Assurance Engineer - Robotics,Rapyuta Robotics,"Chennai, Tamil Nadu, India",On-site,Full-time,,,English,,,Recent,https://in.linkedin.com/jobs/view/quality-assurance-engineer-robotics-at-rapyuta-robotics-4401718374,2026-04-16T11:10:06.876757+00:00
0,Testingenieur | Germany,linkedin,構造設計エンジニア※RC造・S造から木造まで幅広い建物多数,（株）構造計画研究所,"Tokyo, Tokyo, Japan",On-site,Full-time,,,English,,,Recent,https://jp.linkedin.com/jobs/view/%E6%A7%8B%E9%80%A0%E8%A8%AD%E8%A8%88%E3%82%A8%E3%83%B3%E3%82%B8%E3%83%8B%E3%82%A2%E2%80%BBrc%E9%80%A0%E3%83%BBs%E9%80%A0%E3%81%8B%E3%82%89%E6%9C%A8%E9%80%A0%E3%81%BE%E3%81%A7%E5%B9%85%E5%BA%83%E3%81%84%E5%BB%BA%E7%89%A9%E5%A4%9A%E6%95%B0-at-%EF%BC%88%E6%A0%AA%EF%BC%89%E6%A7%8B%E9%80%A0%E8%A8%88%E7%94%BB%E7%A0%94%E7%A9%B6%E6%89%80-4402580683,2026-04-16T11:10:06.876891+00:00
0,Testingenieur | Germany,linkedin,PLC改善工程师,Wanfeng Auto Holding Group Co. Ltd,"Sandton, Gauteng, South Africa",On-site,Full-time,,,English,,,Recent,https://za.linkedin.com/jobs/view/plc%E6%94%B9%E5%96%84%E5%B7%A5%E7%A8%8B%E5%B8%88-at-wanfeng-auto-holding-group-co-ltd-4401866483,2026-04-16T11:10:06.877032+00:00
0,Testingenieur | Germany,linkedin,飞行器研发设计工程师/带头人,Wanfeng Auto Holding Group Co. Ltd,"Ansan, Gyeonggi, South Korea",On-site,Full-time,,,English,,,Recent,https://kr.linkedin.com/jobs/view/%E9%A3%9E%E8%A1%8C%E5%99%A8%E7%A0%94%E5%8F%91%E8%AE%BE%E8%AE%A1%E5%B7%A5%E7%A8%8B%E5%B8%88-%E5%B8%A6%E5%A4%B4%E4%BA%BA-at-wanfeng-auto-holding-group-co-ltd-4401871306,2026-04-16T11:10:06.877168+00:00
0,Testingenieur | Germany,linkedin,Projektingenieur:in,smartist.one,"Lower Saxony, Germany",On-site,Full-time,,,English,,,Recent,https://de.linkedin.com/jobs/view/projektingenieur-in-at-smartist-one-4402537045,2026-04-16T11:10:06.877434+00:00
0,Testingenieur | Remote,linkedin,Engenheiro de QA/Testes,Radartec,Greater São Paulo Area,Remote,Full-time,,,English,,,Recent,https://br.linkedin.com/jobs/view/engenheiro-de-qa-testes-at-radartec-4401073885,2026-04-16T11:10:14.763369+00:00
0,Testingenieur | Remote,linkedin,QA Engineer (New Delivery Projects),Saab,"England, United Kingdom",Remote,Contract,,,English,,,Recent,https://uk.linkedin.com/jobs/view/qa-engineer-new-delivery-projects-at-saab-4399719263,2026-04-16T11:10:14.763780+00:00
0,Testingenieur | Remote,linkedin,QA Engineer (mobile),Nexters ($GDEV),"Limassol Municipality, Limassol, Cyprus",Remote,Full-time,,,English,,,Recent,https://cy.linkedin.com/jobs/view/qa-engineer-mobile-at-nexters-%24gdev-4399989558,2026-04-16T11:10:14.764154+00:00
0,Test Automation | Germany,linkedin,QA Automation Tester,Delaplex,"Nagpur, Maharashtra, India",On-site,Full-time,,,English,,,Recent,https://in.linkedin.com/jobs/view/qa-automation-tester-at-delaplex-4400721286,2026-04-16T11:10:30.804055+00:00
0,Test Automation | Germany,linkedin,Selenium Test Automation,Capgemini,"Bengaluru, Karnataka, India",On-site,Full-time,"Selenium, Test Automation",,English,,,Recent,https://in.linkedin.com/jobs/view/selenium-test-automation-at-capgemini-4394674848,2026-04-16T11:10:30.804228+00:00
0,Test Automation | Germany,linkedin,Test Automation Engineer,Witbe,"San Francisco, CA",On-site,Full-time,Test Automation,,English,,,Recent,https://www.linkedin.com/jobs/view/test-automation-engineer-at-witbe-4402270619,2026-04-16T11:10:30.804656+00:00
0,Test Automation | Germany,linkedin,QA Automation - Bournemouth,Neev,"Bournemouth, England, United Kingdom",On-site,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/qa-automation-bournemouth-at-neev-4402930334,2026-04-16T11:10:30.804789+00:00
0,Test Automation | Germany,linkedin,Sr. Manager - Quality Control,Julphar,"Ras Al Khaimah, Ras al-Khaimah, United Arab Emirates",On-site,Full-time,,,English,,,Recent,https://ae.linkedin.com/jobs/view/sr-manager-quality-control-at-julphar-4402900921,2026-04-16T11:10:30.804919+00:00
0,Test Automation | Germany,linkedin,Test Automation Engineer,Witbe,"Denver, CO",On-site,Full-time,Test Automation,,English,,,Recent,https://www.linkedin.com/jobs/view/test-automation-engineer-at-witbe-4402261761,2026-04-16T11:10:30.805310+00:00
0,Test Automation | Remote,linkedin,QA Automation Engineer,ClassWallet,United States,Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/qa-automation-engineer-at-classwallet-4391777521,2026-04-16T11:10:38.743684+00:00
0,Test Automation | Remote,linkedin,Quality Assurance Tester,MenuFit,United States,Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/quality-assurance-tester-at-menufit-4391957937,2026-04-16T11:10:38.743813+00:00
0,Test Automation | Remote,linkedin,QA Automation Test Engineer,Kainos,United Kingdom,Remote,Full-time,,,English,,,Recent,https://uk.linkedin.com/jobs/view/qa-automation-test-engineer-at-kainos-4398468559,2026-04-16T11:10:38.743941+00:00
0,Test Automation | Remote,linkedin,MLOps Engineer (Relocation to Serbia),"Akvelon, Inc.",Georgia,Remote,Full-time,,Mlops,English,,,Recent,https://ge.linkedin.com/jobs/view/mlops-engineer-relocation-to-serbia-at-akvelon-inc-4399780163,2026-04-16T11:10:38.744070+00:00
0,Test Automation | Remote,linkedin,QA Analyst I,Filevine,United States,Remote,Full-time,,,English,,,Recent,https://www.linkedin.com/jobs/view/qa-analyst-i-at-filevine-4391155833,2026-04-16T11:10:38.744195+00:00
0,Python Developer | Germany,linkedin,Python Developer,Infosys,"Bengaluru, Karnataka, India",On-site,Full-time,Python,,English,,,Recent,https://in.linkedin.com/jobs/view/python-developer-at-infosys-4323369504,2026-04-16T11:10:54.291983+00:00
0,Python Developer | Germany,linkedin,Python Developer,Infosys,"Bengaluru East, Karnataka, India",On-site,Full-time,Python,,English,,,Recent,https://in.linkedin.com/jobs/view/python-developer-at-infosys-4397658289,2026-04-16T11:10:54.292152+00:00
0,Python Developer | Germany,linkedin,Software Engineer (Python) - AI Platform,Revolut,United Arab Emirates,On-site,Full-time,Python,,English,,,Recent,https://ae.linkedin.com/jobs/view/software-engineer-python-ai-platform-at-revolut-4250198849,2026-04-16T11:10:54.292292+00:00
0,Python Developer | Germany,linkedin,Full Stack Python Developer,Deloitte,"Bengaluru, Karnataka, India",On-site,Full-time,Python,,English,,,Recent,https://in.linkedin.com/jobs/view/full-stack-python-developer-at-deloitte-4392281466,2026-04-16T11:10:54.292429+00:00
0,Python Developer | Germany,linkedin,Software Engineer (Python) - AI Platform,Revolut,Spain,On-site,Full-time,Python,,English,,,Recent,https://es.linkedin.com/jobs/view/software-engineer-python-ai-platform-at-revolut-4250198850,2026-04-16T11:10:54.292565+00:00
0,Python Developer | Germany,linkedin,Software Engineer (Python) - AI Platform,Revolut,United Kingdom,On-site,Full-time,Python,,English,,,Recent,https://uk.linkedin.com/jobs/view/software-engineer-python-ai-platform-at-revolut-4250197984,2026-04-16T11:10:54.292717+00:00
0,Python Developer | Germany,linkedin,Software Engineer (Python) - AI Platform,Revolut,Portugal,On-site,Full-time,Python,,English,,,Recent,https://pt.linkedin.com/jobs/view/software-engineer-python-ai-platform-at-revolut-4250504096,2026-04-16T11:10:54.292847+00:00
0,Python Developer | Germany,linkedin,Desenvolvedor(a) Python,Dadoteca,"Rio de Janeiro, Rio de Janeiro, Brazil",On-site,Full-time,"C, Ci/Cd, Python","Postgresql, Pytorch, Fastapi, Machine Learning, Docker, Flask, Tensorflow, Azure, Git",English,,,Recent,https://br.linkedin.com/jobs/view/desenvolvedor-a-python-at-dadoteca-4402000656,2026-04-16T11:10:54.292976+00:00
0,Python Developer | Germany,linkedin,Desenvolvedor(a) Python,Dadoteca,Brazil,On-site,Full-time,Python,,English,,,Recent,https://br.linkedin.com/jobs/view/desenvolvedor-a-python-at-dadoteca-4399774075,2026-04-16T11:10:54.293105+00:00
0,Python Developer | Germany,linkedin,Associate - Python Data Engineer - GDC,PwC India,"Kolkata, West Bengal, India",On-site,Full-time,Python,Associate,English,,,Recent,https://in.linkedin.com/jobs/view/associate-python-data-engineer-gdc-at-pwc-india-4291069034,2026-04-16T11:10:54.293235+00:00
0,Python Developer | Remote,linkedin,Software Engineer (Python) - AI Platform,Revolut,Poland,Remote,Full-time,Python,,English,,,Recent,https://pl.linkedin.com/jobs/view/software-engineer-python-ai-platform-at-revolut-4250500721,2026-04-16T11:11:02.493126+00:00
0,Python Developer | Remote,linkedin,Python BackEnd developer,WillWare Technologies,"Karnataka, India",Remote,Full-time,Python,,English,,,Recent,https://in.linkedin.com/jobs/view/python-backend-developer-at-willware-technologies-4401743048,2026-04-16T11:11:02.493254+00:00
0,Python Developer | Remote,linkedin,Python Developer,Capgemini,"McLean, VA",Remote,Full-time,Python,,English,,,Recent,https://www.linkedin.com/jobs/view/python-developer-at-capgemini-4401777457,2026-04-16T11:11:02.493384+00:00
0,Python Developer | Remote,linkedin,Desenvolvedor Python (Júnior)  - Trabalho Remoto,BairesDev,Brazil,Remote,Full-time,Python,,English,,,Recent,https://br.linkedin.com/jobs/view/desenvolvedor-python-j%C3%BAnior-trabalho-remoto-at-bairesdev-4399638522,2026-04-16T11:11:02.493510+00:00
0,Python Test | Germany,linkedin,QA Automation Engineer,payabl.,"Cracow, Małopolskie, Poland",On-site,Full-time,,,English,,,Recent,https://pl.linkedin.com/jobs/view/qa-automation-engineer-at-payabl-4402908834,2026-04-16T11:11:18.740546+00:00
0,Python Test | Germany,linkedin,Test Automation Engineer,Deloitte,"Glasgow, Scotland, United Kingdom",On-site,Full-time,Test Automation,,English,,,Recent,https://uk.linkedin.com/jobs/view/test-automation-engineer-at-deloitte-4383541540,2026-04-16T11:11:18.740852+00:00
0,Python Test | Germany,linkedin,Software Test and Automation Engineer,Teradata,"Telangana, India",On-site,Full-time,,,English,,,Recent,https://in.linkedin.com/jobs/view/software-test-and-automation-engineer-at-teradata-4389525499,2026-04-16T11:11:18.741111+00:00
0,Python Test | Germany,linkedin,Software Test and Automation Engineer,Teradata,"Hyderabad, Telangana, India",On-site,Full-time,,,English,,,Recent,https://in.linkedin.com/jobs/view/software-test-and-automation-engineer-at-teradata-4389532131,2026-04-16T11:11:18.741241+00:00
0,Python Test | Germany,linkedin,Manual Test Engineer,Coforge,"Melbourne, Victoria, Australia",On-site,Full-time,,,English,,,Recent,https://au.linkedin.com/jobs/view/manual-test-engineer-at-coforge-4388666710,2026-04-16T11:11:18.741369+00:00
0,Python Test | Germany,linkedin,QA Automation Engineer,payabl.,"Lisbon, Lisbon, Portugal",On-site,Full-time,,,English,,,Recent,https://pt.linkedin.com/jobs/view/qa-automation-engineer-at-payabl-4402916793,2026-04-16T11:11:18.741498+00:00
0,Python Test | Remote,linkedin,Quality Engineer,StackAdapt,"Vancouver, British Columbia, Canada",Remote,Full-time,,,English,,,Recent,https://ca.linkedin.com/jobs/view/quality-engineer-at-stackadapt-4382461802,2026-04-16T11:11:26.795544+00:00
