relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Test Engineer | Germany,solcom,Senior Automotive Testing Engineer (m/w/d),SOLCOM Client,"International, Bucharest",On-site,Freelance,,Senior,English,Senior,,Recent,https://www.solcom.de/de/projektportal/projektangebote/senior-automotive-testing-engineer-m-w-d-105686,2026-04-30T11:55:36.202538+00:00
0,Test Engineer | Germany,solcom,DevOps Governance Enablement Spezialist (m/w/d),SOLCOM Client,D7,On-site,Freelance,,Devops,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/devops-governance-enablement-spezialist-m-w-d-105537,2026-04-30T11:55:36.203276+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D5, Gr Mainz 4 Tage Mo-Do",On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/qualitaetsingeneieur-qs-ingenieur-fuer-grossbaustelle-im-bereich-energietechnik-m-w-d-105492,2026-04-30T11:55:36.203374+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,"Ci/Cd, Continuous Testing, Github Actions, Hil, Jenkins, Pytest, Python, Test Automation","Github, Gitlab, R, Devops, Azure",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-engineer-simulation-m-w-d-105489,2026-04-30T11:55:36.203472+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/pid-control-engineer-m-w-d-105468,2026-04-30T11:55:36.203570+00:00
0,Test Engineer | Germany,solcom,Data-Driven Quality Engineer/ SAP QM (m/w/d),SOLCOM Client,"D0, Thüringen (40%)/ remote (60%)",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-entwickler-sap-qm-fiori-apps-m-w-d-105455,2026-04-30T11:55:36.203668+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, Remote",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/grid-code-test-engineer-m-w-d-105313,2026-04-30T11:55:36.203895+00:00
0,Test Engineer | Germany,solcom,Network Engineer im Bereich Access und CPE (m/w/d),SOLCOM Client,D4,On-site,Freelance,,,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/network-engineer-im-bereich-access-und-cpe-m-w-d-1014700,2026-04-30T11:55:36.203992+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,CH,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-flying-probe-ict-m-w-d-105258,2026-04-30T11:55:36.204087+00:00
0,Test Engineer | Germany,solcom,Project Quality Engineer (Hardware / Software) - 50% Auslastung (m/w/d),SOLCOM Client,"D9, & Remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/project-quality-engineer-hardware-software-m-w-d-105224,2026-04-30T11:55:36.204183+00:00
0,Testingenieur | Germany,solcom,Tes­t­in­ge­nieur - Em­bed­ded Sys­te­me (m/w/d),SOLCOM Client,D4,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-embedded-systeme-m-w-d-1014771,2026-04-30T11:56:43.879773+00:00
0,Test Automation | Germany,solcom,Weitere Projekte,SOLCOM Client,D8,On-site,Freelance,"Hil, Sil",R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/software-entwickler-fuer-automationssysteme-m-w-d-105597,2026-04-30T11:57:47.030649+00:00
0,Test Automation | Germany,solcom,FPGA Ex­per­te (m/w/d),SOLCOM Client,"D0, überwiegend Remote",Remote,Freelance,,Fpga,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/fpga-experte-m-w-d-105200,2026-04-30T11:57:47.031103+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D6, Offenbach am Main",Remote,Freelance,Python,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/python-entwickler-powerfactory-m-w-d-105638,2026-04-30T11:59:48.155528+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,D7,Remote,Freelance,Python,"Computer Vision, R, Machine Learning",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/ros-entwickler-robot-operating-system-m-w-d-105627,2026-04-30T11:59:48.155708+00:00
