relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,gulp,Senior Quality /Test Engineer(Robot Framework / Mobile & Web etc.) (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,Robot Framework,Senior,English,Senior,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01319340,2026-08-10T11:29:41.167428+00:00
0,Tester | Germany,gulp,Electrical Engineer (m/f/d),GULP Client,"Location: D5, Nähe Dortmund",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/9b83f0e48c3b11f194a5c6f993278132,2026-08-10T11:29:41.170920+00:00
0,Tester | Germany,gulp,SeniorTest EngineerSMC network management (m/f/d),GULP Client,Location: D6/remote,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/887a989e8c0011f194a5c6f993278132,2026-08-10T11:29:41.171745+00:00
0,Tester | Germany,gulp,Verification and Qualification Engineer in Signal Electronics in the Aviation Sector (m/f/d),GULP Client,Location: D8,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/370635de84f511f189e08e417b6a1e17,2026-08-10T11:29:41.172154+00:00
0,Tester | Germany,gulp,Testerfor an application in the banking sector (m/f/d),GULP Client,"Location: D7, Karlsruhe / Remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/8607de3e813111f189e08e417b6a1e17,2026-08-10T11:29:41.172660+00:00
0,Tester | Germany,gulp,Tester/ Test automation engineer (m/f/d),GULP Client,Location: Wien/remote,Remote,Freelance,Test Automation,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/056c7d267b3d11efb0e1762ed2f8ca94,2026-08-10T11:29:41.173406+00:00
0,QA Engineer | Germany,gulp,ProjectEngineerFood Industry (m/f/d),GULP Client,Location: D0,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a337401a94a711f194a5c6f993278132,2026-08-10T11:30:32.237982+00:00
0,QA Engineer | Germany,gulp,Plan calculator for structuralengineering(m/f/d),GULP Client,"Location: D4, Remote",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/a3a4aab094a711f194a5c6f993278132,2026-08-10T11:30:32.238588+00:00
0,QA Engineer | Germany,gulp,Construction Manager for Building ServicesEngineering(HVAC) (m/f/d),GULP Client,"Location: D1, Berlin-Karlshorst",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/51841d4a949f11f194a5c6f993278132,2026-08-10T11:30:32.239784+00:00
0,QA Engineer | Germany,gulp,Building servicesengineer(m/f/d),GULP Client,"Location: D7, Freiburg im Breisgau",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/d70ba464949611f194a5c6f993278132,2026-08-10T11:30:32.240775+00:00
0,QA Engineer | Germany,gulp,Test AutomationEngineer(m/f/d),GULP Client,Location: Bayern,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a797784e14658e1d76d70ea,2026-08-10T11:30:32.243362+00:00
0,QA Engineer | Germany,gulp,"Java Developer / Fullstack Developer (Java, Angular) with a focus on AI/LLM in the banking sector",GULP Client,Location: München,Remote,Freelance,"Java, Llm",Angular,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/talentfinder/6a7976dec8f5c55084ae9042,2026-08-10T11:30:32.244182+00:00
0,QA Engineer | Germany,gulp,IT Business Analyst with AI (m/f/d),GULP Client,Location: Frankfurt am Main,On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01319251,2026-08-10T11:30:32.244564+00:00
0,QA Engineer | Germany,gulp,CommissioningEngineerPCS7 (Saudi Arabia Deployment) (m/f/d),GULP Client,"Location: International, Saudi Arabien",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/64ee871c927e11f194a5c6f993278132,2026-08-10T11:30:32.245461+00:00
0,QA Engineer | Germany,gulp,Turnaround / ShutdownEngineer- Mechanics & Pipeline Construction (m/f/d),GULP Client,"Location: D2, Stade",On-site,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/05a8a7cc927611f194a5c6f993278132,2026-08-10T11:30:32.246303+00:00
0,QA Engineer | Germany,gulp,Data WarehouseEngineer(Microsoft Fabric) (m/f/d),GULP Client,"Location: Remote, D5",Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/05f26d08927611f194a5c6f993278132,2026-08-10T11:30:32.246812+00:00
0,Test Automation | Germany,gulp,"IT developer including Frontend, Angular, NgRx, Signal, AI, Claude, Cursor, GraphQL, REST, etc (f/m/d)",GULP Client,Location: Frankfurt am Main,On-site,Freelance,"Claude, Cursor","Angular, Graphql",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01320186,2026-08-10T11:33:05.900681+00:00
0,Test Automation | Germany,gulp,"Backend Developer (m/f/d) - Spring Boot and Containerization, Microservices, AWS",GULP Client,Location: Frankfurt am Main,On-site,Freelance,,"Aws, Microservices, Spring Boot",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01319009,2026-08-10T11:33:05.902546+00:00
0,Test Automation | Germany,gulp,Test/Quality Engineer (m/f/d),GULP Client,Location: Frankfurt am Main,Remote,Freelance,,,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01316821,2026-08-10T11:33:05.904007+00:00
0,Python Developer | Germany,gulp,"Project Manager (m/f/d) - Implementation, Rollout or Transformation Projects",GULP Client,Location: Berlin,Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01319400,2026-08-10T11:33:57.350538+00:00
0,Python Developer | Germany,gulp,Project Manager CRA (m/f/d),GULP Client,Location: Remote,Remote,Freelance,,Project Manager,English,,,Recent,https://www.gulp.de/gulp2/g/projekte/extern/942a489c948e11f194a5c6f993278132,2026-08-10T11:33:57.351960+00:00
0,Python Test | Germany,gulp,Project Manager (m/f/d) - Design and Procurement of Assembly Machines,GULP Client,Location: Melsungen,On-site,Freelance,,"Assembly, Project Manager",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01320258,2026-08-10T11:34:47.253333+00:00
0,Python Test | Germany,gulp,"IT - Full stack developer including ASP.NET, C#, Angular, CSS, RxJS, Typescript, MS SQL, Web.... (f/m/d)",GULP Client,Location: Frankfurt am Main,On-site,Freelance,"C, Typescript","Sql, Angular, C#",English,,,Recent,https://www.gulp.de/gulp2/g/projekte/agentur/C01320202,2026-08-10T11:34:47.253661+00:00
