relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,PEGA Expert (m/f/d),Hays Client,Vienna,On-site,Contract,Unit Testing,Expert,English,Expert,,24.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-pega-expert-vienna-887332/1,2026-07-27T13:03:19.871470+00:00
14,Test Engineer | Germany,hays,Senior Embedded Firmware Security Engineer (m/w/d),Hays Client,Fürstenfeldbruck,On-site,Contract,Firmware,Senior,German,Senior,,07.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-embedded-firmware-security-engineer-fuerstenfeldbruck-884719/1,2026-07-27T13:04:11.510310+00:00
14,Test Engineer | Germany,hays,Senior Cyber Security Engineer (m/w/d),Hays Client,Frankfurt,On-site,Contract,,Senior,German,Senior,,02.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-cyber-security-engineer-frankfurt-877659/1,2026-07-27T13:04:11.510825+00:00
14,Test Engineer | Germany,hays,System Engineer / System Architect – Onboard Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,"Architect, System Architect",German,"Architect, System Architect",,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-engineer-system-architect--onboard-charger-obc-kassel-881836/1,2026-07-27T13:04:11.511866+00:00
14,Test Engineer | Germany,hays,Senior Test Engineer – Hardware Typprüfung & Prüflabormanagement (m/w/d),Hays Client,Berlin,On-site,Contract,,"Senior, R",German,Senior,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-engineer--hardware-typpruefung-prueflabormanagement-berlin-880848/1,2026-07-27T13:04:11.512653+00:00
14,Testingenieur | Germany,hays,Senior HiL Testingenieur (Motoren) (m/w/d),Hays Client,Friedrichshafen,On-site,Contract,Hil,Senior,German,Senior,,22.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hil-testingenieur-motoren-friedrichshafen-871448/1,2026-07-27T13:04:36.590103+00:00
14,Test Automation | Germany,hays,Security Experte im C5 Umfeld (m/w/d),Hays Client,Stuttgart,On-site,Contract,,"Expert, R, Azure, Devops",German,Expert,,21.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-security-experte-im-c5-umfeld-stuttgart-886640/1,2026-07-27T13:05:00.466937+00:00
14,Test Automation | Germany,hays,Senior GenAI Software Engineer (m/w/d),Hays Client,Leverkusen,On-site,Contract,"Ci/Cd, Langchain, Python","R, Fastapi, Senior",German,Senior,,17.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-genai-software-engineer-leverkusen-884323/1,2026-07-27T13:05:00.467224+00:00
14,Test Automation | Germany,hays,Lead Architect / Teamleiter IP/MPLS Design (m/w/d),Hays Client,Düsseldorf,On-site,Contract,,"Architect, R, Lead, Team Lead",German,"Architect, Lead",,17.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-architect-teamleiter-ip-mpls-design-duesseldorf-886301/1,2026-07-27T13:05:00.467486+00:00
14,Test Automation | Germany,hays,Senior HR Analytics Consultant (m/w/d),Hays Client,Herzogenaurach,On-site,Contract,,"Senior, R, Consultant",German,"Consultant, Senior",,29.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hr-analytics-consultant-herzogenaurach-883356/1,2026-07-27T13:05:00.468795+00:00
14,Test Automation | Germany,hays,Bauleiter Elektro (Schiffbau) (m/w/d),Hays Client,Norddeutschland,On-site,Contract,,"R, Freelancer",German,Freelancer,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-bauleiter-elektro-schiffbau-norddeutschland-883209/1,2026-07-27T13:05:00.469066+00:00
14,Python Developer | Germany,hays,Senior Python Backend Developer (m/w/d),Hays Client,Erlangen,On-site,Contract,Python,"Senior, R",German,Senior,,27.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-python-backend-developer-erlangen-887485/1,2026-07-27T13:05:31.069385+00:00
14,Python Developer | Germany,hays,Senior Software Developer (m/w/d),Hays Client,München,On-site,Contract,"Ci/Cd, Java, Javascript, Python, Typescript","Docker, Postgresql, Devops, Kubernetes, Senior",German,Senior,,23.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-software-developer-muenchen-882356/1,2026-07-27T13:05:31.070177+00:00
14,Python Test | Germany,hays,Senior AI Engineer  (m/w/d),Hays Client,Sursee,On-site,Contract,,Senior,German,Senior,,23.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-ai-engineer--sursee-887258/1,2026-07-27T13:05:54.002862+00:00
14,Python Test | Germany,hays,Embedded Python Expert (m/f/d),Hays Client,Augsburg,On-site,Contract,"Pytest, Python",Expert,English,Expert,,17.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-python-expert-augsburg-883438/1,2026-07-27T13:05:54.003401+00:00
0,Tester | Germany,hays,Junior Product Test Engineer (m/w/d),Hays Client,Rapperswil-Jona,On-site,Contract,,Junior,German,,,24.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-junior-product-test-engineer-rapperswil-jona-886932/1,2026-07-27T13:03:19.871170+00:00
0,Tester | Germany,hays,Embedded Software Engineer (m/w/d),Hays Client,Soest,On-site,Contract,"C, Hil, Sil","Mil, C#, R",German,,,24.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-software-engineer-soest-887315/1,2026-07-27T13:03:19.871743+00:00
0,Tester | Germany,hays,Test Evangelist (w/m/d) (m/w/d),Hays Client,Düsseldorf,On-site,Contract,Test Automation,R,German,,,22.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-evangelist-w-m-d-duesseldorf-887074/1,2026-07-27T13:03:19.872112+00:00
0,Tester | Germany,hays,Labor Specialist (m/w/d),Hays Client,Mannheim,On-site,Contract,,,German,,,16.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-labor-specialist-mannheim-886044/1,2026-07-27T13:03:19.872400+00:00
0,Tester | Germany,hays,Testingeniuer ADAS (m/w/d),Hays Client,Weyhausen,On-site,Contract,,,German,,,10.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingeniuer-adas-weyhausen-885325/1,2026-07-27T13:03:19.872933+00:00
0,Tester | Germany,hays,CPE Tester (m/w/d),Hays Client,Remote,Remote,Contract,Firmware,R,German,,,06.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-cpe-tester-remote-884484/1,2026-07-27T13:03:19.873217+00:00
0,Tester | Germany,hays,Security Tester / Pentester (m/w/d),Hays Client,München -Garching,On-site,Contract,Test Automation,,German,,,02.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-security-tester-pentester-muenchen--garching-883849/1,2026-07-27T13:03:19.873473+00:00
0,Tester | Germany,hays,Software Tester (m/w/d),Hays Client,Kassel,On-site,Contract,,,German,,,22.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-tester-kassel-882001/1,2026-07-27T13:03:19.874010+00:00
0,Tester | Germany,hays,Software Tester and User Enablement Specialist (m/w/d),Hays Client,Berlin,On-site,Contract,,"Jira, Scrum, Safe, Devops, Azure, R",German,,,22.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-tester-and-user-enablement-specialist-berlin-881942/1,2026-07-27T13:03:19.874274+00:00
0,Tester | Germany,hays,System Test & Validation Engineer – Onboard Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,,German,,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-system-test-validation-engineer--onboard-charger-obc-kassel-881860/1,2026-07-27T13:03:19.874528+00:00
0,Tester | Germany,hays,Systemintegrationsingenieur Bremsregelsystem (m/w/d),Hays Client,Untertürkheim,On-site,Contract,,,German,,,12.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systemintegrationsingenieur-bremsregelsystem-untertuerkheim-880927/1,2026-07-27T13:03:19.874785+00:00
0,Tester | Germany,hays,Montage- und Prüftechniker (Elektronik) (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,R,German,,,12.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-montage--und-prueftechniker-elektronik-schleswig-holstein-880939/1,2026-07-27T13:03:19.875065+00:00
0,Tester | Germany,hays,Software Test Engineer  (m/w/d),Hays Client,Gilching,On-site,Contract,,R,German,,,10.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-test-engineer--gilching-860927/1,2026-07-27T13:03:19.875848+00:00
0,Tester | Germany,hays,Systemingenieur (m/w/d),Hays Client,Großraum Bonn,On-site,Contract,,,German,,,25.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-systemingenieur-grossraum-bonn-867591/1,2026-07-27T13:03:19.876156+00:00
0,Tester | Germany,hays,Multifunktionsoperator/Chemielaborant (m/w/d),Hays Client,Rotkreuz,On-site,Contract,,,German,,,24.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-multifunktionsoperator-chemielaborant-rotkreuz-867437/1,2026-07-27T13:03:19.876427+00:00
0,QA Engineer | Germany,hays,DevOps Engineer (m/w/d),Hays Client,Wien,Hybrid,Contract,"Ci/Cd, Jenkins","Gitlab, Aws, Grafana, Terraform, Ansible, Devops, Azure, Openshift, Gitlab Ci, Kubernetes",German,,,24.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-wien-887368/1,2026-07-27T13:03:43.585799+00:00
0,QA Engineer | Germany,hays,Softwareentwickler C++ (m/w/d),Hays Client,Jena,On-site,Contract,"C, C++, Pytest","Scrum, Junior",German,,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-softwareentwickler-c-jena-880455/1,2026-07-27T13:03:43.586899+00:00
0,QA Engineer | Germany,hays,MSAT Engineer Process Management (m/f/d),Hays Client,Zug,On-site,Contract,C,,English,,,28.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-msat-engineer-process-management-zug-878730/1,2026-07-27T13:03:43.587184+00:00
0,QA Engineer | Germany,hays,Project Engineer (m/w/d),Hays Client,Singen,On-site,Contract,C,,German,,,28.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-project-engineer-singen-872232/1,2026-07-27T13:03:43.588219+00:00
0,QA Engineer | Germany,hays,Product Quality Engineer QC (m/w/d),Hays Client,Zug,On-site,Contract,,R,German,,,13.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-product-quality-engineer-qc-zug-869844/1,2026-07-27T13:03:43.588478+00:00
0,QA Engineer | Germany,hays,Devops Engineer (m/w/d),Hays Client,Kreis Unna,On-site,Contract,Java,"Docker, Intern, Git, Spring Boot, Angular, Devops",German,,,13.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-kreis-unna-861212/1,2026-07-27T13:03:43.588996+00:00
0,Test Engineer | Germany,hays,Network Engineer (m/w/d),Hays Client,Nordrhein-Westfalen,On-site,Contract,,R,German,,,21.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-network-engineer-nordrhein-westfalen-886526/1,2026-07-27T13:04:11.509759+00:00
0,Test Engineer | Germany,hays,Hardware Ingenieur Automotive / Hardware Design Engineer  (m/w/d),Hays Client,Kronach,On-site,Contract,,,German,,,09.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-ingenieur-automotive-hardware-design-engineer--kronach-885058/1,2026-07-27T13:04:11.510045+00:00
0,Test Engineer | Germany,hays,Software Engineer Cobol (m/w/d),Hays Client,Köln,On-site,Contract,,R,German,,,06.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-cobol-koeln-884442/1,2026-07-27T13:04:11.510564+00:00
0,Test Engineer | Germany,hays,ADAS Physical Integration Engineer (m/w/d) (m/w/d),Hays Client,Köln,On-site,Contract,,,German,,,01.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-adas-physical-integration-engineer-koeln-883779/1,2026-07-27T13:04:11.511096+00:00
0,Test Engineer | Germany,hays,Hardware Test Engineer – Onboard Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,,German,,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hardware-test-engineer--onboard-charger-obc-kassel-881857/1,2026-07-27T13:04:11.511610+00:00
0,Test Engineer | Germany,hays,Requirements Engineer - Onboard-Charger (OBC) (m/w/d),Hays Client,Kassel,Remote,Contract,,,German,,,18.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-requirements-engineer-onboard-charger-obc-kassel-881810/1,2026-07-27T13:04:11.512142+00:00
0,Test Engineer | Germany,hays,Ingenieur für Anlagenplanung/ Plant Layout Engineer  (m/w/d),Hays Client,Berlin,On-site,Contract,,R,German,,,09.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-fuer-anlagenplanung--plant-layout-engineer--berlin-880432/1,2026-07-27T13:04:11.512905+00:00
0,Test Engineer | Germany,hays,Functional Test Engineer - Fahrzeugelektronik (m/w/d),Hays Client,Speyer,Remote,Contract,Embedded Systems,"R, Aspice",German,,,05.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-functional-test-engineer-fahrzeugelektronik-speyer-880198/1,2026-07-27T13:04:11.513179+00:00
0,Test Engineer | Germany,hays,Mechanical Design Engineer (m/w/d),Hays Client,Weilheim in Oberbayern,On-site,Contract,,R,German,,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-mechanical-design-engineer-weilheim-in-oberbayern-877322/1,2026-07-27T13:04:11.513680+00:00
0,Test Engineer | Germany,hays,Microsoft 365 Security Engineer (m/w/d),Hays Client,München,On-site,Contract,,,German,,,06.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-microsoft-365-security-engineer-muenchen-869732/1,2026-07-27T13:04:11.513932+00:00
0,Test Engineer | Germany,hays,Software Engineer (m/w/d),Hays Client,Schleswig-Holstein,On-site,Contract,,,German,,,31.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-engineer-schleswig-holstein-868562/1,2026-07-27T13:04:11.514449+00:00
0,Testingenieur | Germany,hays,Testingenieur - Hochvolt-Elektrifizierung (m/w/d),Hays Client,Stuttgart,On-site,Contract,,R,German,,,20.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-testingenieur-hochvolt-elektrifizierung-stuttgart-886438/1,2026-07-27T13:04:36.589802+00:00
0,Test Automation | Germany,hays,Investment Compliance Specialist  (m/w/d),Hays Client,Bad Homburg,On-site,Contract,,R,German,,,22.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-investment-compliance-specialist--bad-homburg-883179/1,2026-07-27T13:05:00.466396+00:00
0,Test Automation | Germany,hays,Entwicklungsingenieur Automatisierungstechnik (m/w/d),Hays Client,Worms,On-site,Contract,,,German,,,14.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-automatisierungstechnik-worms-885658/1,2026-07-27T13:05:00.467744+00:00
0,Test Automation | Germany,hays,Facharbeiter Inbetriebnahme (m/w/d),Hays Client,Ludwigsburg,On-site,Contract,,,German,,,14.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-facharbeiter-inbetriebnahme-ludwigsburg-885633/1,2026-07-27T13:05:00.468021+00:00
0,Test Automation | Germany,hays,Versuchsingenieur (m/w/d),Hays Client,Karlstein am Main,On-site,Contract,,,German,,,07.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-versuchsingenieur-karlstein-am-main-863728/1,2026-07-27T13:05:00.468281+00:00
0,Test Automation | Germany,hays,Mitarbeiter Montage (m/w/d),Hays Client,Ludwigsburg,On-site,Contract,,Associate,German,,,25.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-mitarbeiter-montage-ludwigsburg-882625/1,2026-07-27T13:05:00.469590+00:00
0,Test Automation | Germany,hays,Credit Assessment Analyst / Kreditsachbearbeiter (m/w/d),Hays Client,Köln,On-site,Contract,,R,German,,,13.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-credit-assessment-analyst-kreditsachbearbeiter-koeln-877198/1,2026-07-27T13:05:00.470144+00:00
0,Test Automation | Germany,hays,Abteilungsleiter Steuern (m/w/d),Hays Client,Hannover,On-site,Contract,,Head Of,German,,,12.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-abteilungsleiter-steuern-hannover-825018/1,2026-07-27T13:05:00.470410+00:00
0,Test Automation | Germany,hays,Technical Documentation Reviewer (m/w/d),Hays Client,Singen,On-site,Contract,,,German,,,30.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-technical-documentation-reviewer-singen-872597/1,2026-07-27T13:05:00.470667+00:00
0,Test Automation | Germany,hays,Ingenieur Energietechnik Sekundärtechnik (m/w/d),Hays Client,Erlangen,On-site,Contract,,R,German,,,09.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-energietechnik-sekundaertechnik-erlangen-830588/1,2026-07-27T13:05:00.471458+00:00
0,Python Developer | Germany,hays,APEX / PLSQL – Developer (m/w/d),Hays Client,Hessen,On-site,Contract,Python,"R, Sql",English,,,27.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-apex-plsql--developer-hessen-887379/1,2026-07-27T13:05:31.069058+00:00
0,Python Developer | Germany,hays,PLC Developer (m/f/d),Hays Client,Zug,On-site,Contract,Integration Testing,R,English,,,17.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-plc-developer-zug-886420/1,2026-07-27T13:05:31.069640+00:00
0,Python Developer | Germany,hays,Embedded Software Developer (m/f/d),Hays Client,Poing,On-site,Contract,,,English,,,06.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-software-developer-poing-884459/1,2026-07-27T13:05:31.069896+00:00
0,Python Developer | Germany,hays,Fullstack Software Developer (m/f/d),Hays Client,Poing,On-site,Contract,,,English,,,01.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-fullstack-software-developer-poing-878692/1,2026-07-27T13:05:31.070431+00:00
0,Python Developer | Germany,hays,DevOps Engineer (m/w/d),Hays Client,Wien,On-site,Contract,,Devops,German,,,27.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-devops-engineer-wien-878851/1,2026-07-27T13:05:31.070684+00:00
0,Python Developer | Germany,hays,UI Prototyping Developer (m/w/d),Hays Client,Affalterbach,On-site,Contract,,R,German,,,10.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ui-prototyping-developer-affalterbach-865539/1,2026-07-27T13:05:31.070935+00:00
0,Python Test | Germany,hays,Embedded Software Engineer (m/w/d),Hays Client,Soest,On-site,Contract,"C, Hil, Python, Sil","Mil, C#, R",German,,,24.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-software-engineer-soest-887294/1,2026-07-27T13:05:54.002345+00:00
0,Python Test | Germany,hays,Solution Designer für CDM-DIL (m/w/d),Hays Client,Stuttgart,On-site,Contract,Ci/Cd,"Devops, R",German,,,14.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-solution-designer-fuer-cdm-dil-stuttgart-885762/1,2026-07-27T13:05:54.003916+00:00
0,Python Test | Germany,hays,Debitorenbuchhalter  (m/w/d),Hays Client,München,On-site,Contract,,R,German,,,14.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-debitorenbuchhalter--muenchen-884738/1,2026-07-27T13:05:54.004200+00:00
0,Python Test | Germany,hays,Entwicklungsingenieur Elektronik  (m/w/d),Hays Client,Großraum München,On-site,Contract,,,German,,,08.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-elektronik--grossraum-muenchen-884427/1,2026-07-27T13:05:54.004451+00:00
0,Python Test | Germany,hays,Data Engineer (m/w/d),Hays Client,Zürich,On-site,Contract,Python,R,German,,,03.07.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-data-engineer-zuerich-884308/1,2026-07-27T13:05:54.004708+00:00
0,Python Test | Germany,hays,Manager IT Security  (m/w/d),Hays Client,München,On-site,Contract,,,German,,,26.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-manager-it-security--muenchen-867614/1,2026-07-27T13:05:54.005243+00:00
0,Python Test | Germany,hays,Cloud/DevOps Software Engineer (m/w/d),Hays Client,Berlin,On-site,Contract,"Arm, Ci/Cd","Scrum, Terraform, Safe, Devops, Azure, R",German,,,22.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-cloud-devops-software-engineer-berlin-881958/1,2026-07-27T13:05:54.005763+00:00
0,Python Test | Germany,hays,Software-Ingenieur - Verifikation und Dokumentation sicherheitskritischer Embedded Software (m/w/d),Hays Client,Sachsen,On-site,Contract,,R,German,,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-ingenieur-verifikation-und-dokumentation-sicherheitskritischer-embedded-software-sachsen-880663/1,2026-07-27T13:05:54.006029+00:00
0,Python Test | Germany,hays,Prozessentwicklungsingenieur (m/w/d),Hays Client,Prüm,On-site,Contract,,R,German,,,03.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-prozessentwicklungsingenieur-pruem-879595/1,2026-07-27T13:05:54.006288+00:00
0,Python Test | Germany,hays,Embedded Softwaretester  (m/w/d),Hays Client,Dresden,On-site,Contract,"C, C++, Can, Python, Spi",R,English,,,19.05.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-embedded-softwaretester--dresden-877631/1,2026-07-27T13:05:54.006538+00:00
0,Python Test | Germany,hays,ICT Administration & Application Manager (m/w/d),Hays Client,Magdeburg,On-site,Contract,"Ci/Cd, Python","Gitlab, Argocd, Openshift, Golang, Gitlab Ci, Kubernetes, R",German,,,22.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ict-administration-application-manager-magdeburg-871371/1,2026-07-27T13:05:54.006822+00:00
0,Python Test | Germany,hays,Ingenieur Elektrotechnik Schwerpunkt Automatisierung (m/w/d),Hays Client,Hessen,On-site,Contract,,R,German,,,02.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-ingenieur-elektrotechnik-schwerpunkt-automatisierung-hessen-846480/1,2026-07-27T13:05:54.007095+00:00
0,Firmware Engineer | Germany,hays,Managed Services Engineer  (m/w/d),Hays Client,Eschborn/remote,Remote,Contract,Firmware,,German,,,10.06.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-managed-services-engineer--eschborn-remote-879323/1,2026-07-27T13:06:22.849232+00:00
