relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Austria,freelancermap,SAP Experte / SAP Consultant Klinikum – Remote / Ostdeutschland,Freelancermap Client,Ostdeutschland Deutschland,Remote,Freelance,,"Expert, Consultant",English,"Consultant, Expert",,14:10,https://www.freelancermap.de/projekt/sap-experte-sap-consultant-klinikum-remote-ostdeutschland,2026-05-18T14:17:24.441225+00:00
0,Tester | Austria,freelancermap,DevSecOps / Platform Security Engineer  (m/w/d) Kiel,Freelancermap Client,Kiel  Deutschland,On-site,Freelance,,,English,,,14:07,https://www.freelancermap.de/projekt/devsecops-platform-security-engineer-m-w-d-kiel,2026-05-18T14:17:24.441439+00:00
0,Tester | Austria,freelancermap,IT Strategy & Project Manager (m/w/d),Freelancermap Client,München (81249) Deutschland,On-site,Freelance,,Project Manager,English,,,14:06,https://www.freelancermap.de/projekt/it-strategy-und-project-manager-m-w-d-3001365,2026-05-18T14:17:24.441631+00:00
0,Tester | Austria,freelancermap,Terminplaner und Großterminplaner (m w d) für zwei anspruchsvolle Infrastrukturprojekte gesucht!,Freelancermap Client,Braunschweig  Deutschland,On-site,Freelance,,R,German,,,14:04,https://www.freelancermap.de/projekt/terminplaner-und-grossterminplaner-m-w-d-fuer-zwei-anspruchsvolle-infrastrukturprojekte-gesucht-3001364,2026-05-18T14:17:24.441738+00:00
0,Tester | Austria,freelancermap,Python Entwickler / Cloud DevOps Engineer (m/w/d),Freelancermap Client,Remote Deutschland,Remote,Freelance,Python,Devops,English,,,14:00,https://www.freelancermap.de/projekt/python-entwickler-cloud-devops-engineer-m-w-d,2026-05-18T14:17:24.441854+00:00
0,Tester | Austria,freelancermap,Terminplaner und Großterminplaner (m w d) für zwei anspruchsvolle Infrastrukturprojekte gesucht!,Freelancermap Client,Berlin Deutschland,On-site,Freelance,,R,German,,,14:00,https://www.freelancermap.de/projekt/terminplaner-und-grossterminplaner-m-w-d-fuer-zwei-anspruchsvolle-infrastrukturprojekte-gesucht,2026-05-18T14:17:24.441967+00:00
0,Tester | Austria,freelancermap,Linux Engineer (Ubuntu) – Full Remote – 6 Monate,Freelancermap Client,Frankfurt Deutschland,Remote,Freelance,,Linux,English,,,13:58,https://www.freelancermap.de/projekt/linux-engineer-ubuntu-full-remote-6-monate,2026-05-18T14:17:24.442068+00:00
0,Tester | Austria,freelancermap,Teilprojektleiter im DWH-Umfeld  (w/m/d),Freelancermap Client,Mannheim Deutschland,On-site,Freelance,,,English,,,13:57,https://www.freelancermap.de/projekt/teilprojektleiter-im-dwh-umfeld-w-m-d,2026-05-18T14:17:24.442170+00:00
0,Tester | Austria,freelancermap,Offshore Structural & Blast Load Engineer (m/w/d),Freelancermap Client,Berlin Deutschland,On-site,Freelance,,,English,,,13:54,https://www.freelancermap.de/projekt/offshore-structural-und-blast-load-engineer-m-w-d,2026-05-18T14:17:24.442566+00:00
0,Tester | Austria,freelancermap,Bauleitung Elektrotechnik (befristete Anstellung),Freelancermap Client,Halle Deutschland,On-site,Freelance,,,English,,,13:44,https://www.freelancermap.de/projekt/bauleitung-elektrotechnik-befristete-anstellung,2026-05-18T14:17:24.442752+00:00
0,Firmware Engineer | Germany,freelancermap,ANÜ - Product Security / Cybersecurity Engineer (m/w/d) Medizintechnik,Aristo Group,Großraum Frankfurt a. M. Deutschland,On-site,Freelance,"C, C++","R, Linux",German,,,14:27,https://www.freelancermap.de/projekt/anue-product-security-cybersecurity-engineer-m-w-d-medizintechnik,2026-05-18T14:29:05.519459+00:00
